Logged started on,27/07/2020 15:41:51
Feature,Accelerometer
Nodes,AM1V310 @394D30

Date,HostTimestamp,NodeName,NodeTimestamp,RawData,X (mg),Y (mg),Z (mg)
27/07/2020 15:48:58.030,426203,AM1V310 @394D30,63636,CE04EE005600,1230,238,86
27/07/2020 15:48:58.090,426256,AM1V310 @394D30,63642,36065BFE78FF,1590,-421,-136
27/07/2020 15:48:58.120,426286,AM1V310 @394D30,63648,D1041501A9FF,1233,277,-87
27/07/2020 15:48:58.180,426346,AM1V310 @394D30,63654,AC004FF80E00,172,-1969,14
27/07/2020 15:48:58.240,426405,AM1V310 @394D30,63661,960440F81C02,1174,-1984,540
27/07/2020 15:48:58.269,426435,AM1V310 @394D30,63667,CD070CFE1F02,1997,-500,543
27/07/2020 15:48:58.330,426495,AM1V310 @394D30,63673,CD0733FEEC00,1997,-461,236
27/07/2020 15:48:58.390,426556,AM1V310 @394D30,63679,CD07B001E7FF,1997,432,-25
27/07/2020 15:48:58.419,426585,AM1V310 @394D30,63686,AE041704E100,1198,1047,225
27/07/2020 15:48:58.480,426646,AM1V310 @394D30,63692,7F028400D2FF,639,132,-46
27/07/2020 15:48:58.570,426736,AM1V310 @394D30,63698,B101910066FF,433,145,-154
27/07/2020 15:48:58.586,426751,AM1V310 @394D30,63704,9601B2FF97FF,406,-78,-105
27/07/2020 15:48:58.629,426795,AM1V310 @394D30,63711,7B0289005001,635,137,336
27/07/2020 15:48:58.690,426856,AM1V310 @394D30,63717,1E03D9FE8200,798,-295,130
27/07/2020 15:48:58.719,426885,AM1V310 @394D30,63723,500306008FFF,848,6,-113
27/07/2020 15:48:58.780,426946,AM1V310 @394D30,63729,4F02F3FF69FE,591,-13,-407
27/07/2020 15:48:58.839,427005,AM1V310 @394D30,63736,1A0175F853FA,282,-1931,-1453
27/07/2020 15:48:58.870,427035,AM1V310 @394D30,63742,4405FC03A6FE,1348,1020,-346
27/07/2020 15:48:58.929,427095,AM1V310 @394D30,63748,3E0734FF7FFB,1854,-204,-1153
27/07/2020 15:48:58.990,427156,AM1V310 @394D30,63754,7E0530008E00,1406,48,142
27/07/2020 15:48:59.022,427188,AM1V310 @394D30,63761,6E033E016EFF,878,318,-146
27/07/2020 15:48:59.080,427245,AM1V310 @394D30,63767,A4035F01E2FF,932,351,-30
27/07/2020 15:48:59.139,427305,AM1V310 @394D30,63773,960366018E00,918,358,142
27/07/2020 15:48:59.170,427335,AM1V310 @394D30,63779,AB03A0018000,939,416,128
27/07/2020 15:48:59.232,427397,AM1V310 @394D30,63786,A4037C01BF00,932,380,191
27/07/2020 15:48:59.290,427456,AM1V310 @394D30,63792,810364018300,897,356,131
27/07/2020 15:48:59.320,427485,AM1V310 @394D30,63798,B80316012A00,952,278,42
27/07/2020 15:48:59.380,427545,AM1V310 @394D30,63804,80040A03AD00,1152,778,173
27/07/2020 15:48:59.439,427605,AM1V310 @394D30,63811,1F042F014D01,1055,303,333
27/07/2020 15:48:59.470,427635,AM1V310 @394D30,63817,2B030302BEFF,811,515,-66
27/07/2020 15:48:59.530,427695,AM1V310 @394D30,63823,9D039401E2FF,925,404,-30
27/07/2020 15:48:59.590,427756,AM1V310 @394D30,63829,C10384012000,961,388,32
27/07/2020 15:48:59.619,427785,AM1V310 @394D30,63836,5903A0018000,857,416,128
27/07/2020 15:48:59.680,427845,AM1V310 @394D30,63842,98039801B2FF,920,408,-78
27/07/2020 15:48:59.740,427905,AM1V310 @394D30,63848,72038B014100,882,395,65
27/07/2020 15:48:59.770,427935,AM1V310 @394D30,63854,07038701E9FF,775,391,-23
27/07/2020 15:48:59.830,427995,AM1V310 @394D30,63861,3C0413022200,1084,531,34
27/07/2020 15:48:59.890,428056,AM1V310 @394D30,63867,0A046901AF00,1034,361,175
27/07/2020 15:48:59.920,428085,AM1V310 @394D30,63873,C6037E007500,966,126,117
27/07/2020 15:48:59.980,428146,AM1V310 @394D30,63879,DD020501D5FE,733,261,-299
27/07/2020 15:49:00.040,428206,AM1V310 @394D30,63886,0A03D2FFA1FD,778,-46,-607
27/07/2020 15:49:00.069,428235,AM1V310 @394D30,63892,E8033CFE9900,1000,-452,153
