Logged started on,27/07/2020 15:41:51
Feature,Accelerometer
Nodes,AM1V310 @394D30

Date,HostTimestamp,NodeName,NodeTimestamp,RawData,X (mg),Y (mg),Z (mg)
27/07/2020 15:49:17.589,445762,AM1V310 @394D30,66079,CC0396017EFF,972,406,-130
27/07/2020 15:49:17.620,445786,AM1V310 @394D30,66086,5B03F500E8FE,859,245,-280
27/07/2020 15:49:17.679,445845,AM1V310 @394D30,66092,250100004FFF,293,0,-177
27/07/2020 15:49:17.740,445906,AM1V310 @394D30,66098,F3068A056806,1779,1418,1640
27/07/2020 15:49:17.769,445935,AM1V310 @394D30,66104,770413FC9CFF,1143,-1005,-100
27/07/2020 15:49:17.830,445996,AM1V310 @394D30,66111,CD07AEFCF004,1997,-850,1264
27/07/2020 15:49:17.890,446055,AM1V310 @394D30,66117,6C0354028200,876,596,130
27/07/2020 15:49:17.921,446086,AM1V310 @394D30,66123,98047D00D500,1176,125,213
27/07/2020 15:49:17.980,446146,AM1V310 @394D30,66129,1B04F30050FF,1051,243,-176
27/07/2020 15:49:18.067,446232,AM1V310 @394D30,66136,18038801AB01,792,392,427
27/07/2020 15:49:18.078,446244,AM1V310 @394D30,66142,29041101AFFF,1065,273,-81
27/07/2020 15:49:18.130,446296,AM1V310 @394D30,66148,D703EF00E4FF,983,239,-28
27/07/2020 15:49:18.191,446356,AM1V310 @394D30,66154,F3023C018BFF,755,316,-117
27/07/2020 15:49:18.220,446386,AM1V310 @394D30,66161,1203B801C8FF,786,440,-56
27/07/2020 15:49:18.309,446475,AM1V310 @394D30,66167,B004D800D200,1200,216,210
27/07/2020 15:49:18.340,446506,AM1V310 @394D30,66173,900399FF6EFF,912,-103,-146
27/07/2020 15:49:18.369,446535,AM1V310 @394D30,66179,C302F7005100,707,247,81
27/07/2020 15:49:18.430,446596,AM1V310 @394D30,66186,B503510149FF,949,337,-183
27/07/2020 15:49:18.490,446655,AM1V310 @394D30,66192,6C037D01ADFF,876,381,-83
27/07/2020 15:49:18.521,446686,AM1V310 @394D30,66198,1203AD015E00,786,429,94
27/07/2020 15:49:18.580,446746,AM1V310 @394D30,66204,5A028602FDFF,602,646,-3
27/07/2020 15:49:18.640,446806,AM1V310 @394D30,66211,3004E00198FF,1072,480,-104
27/07/2020 15:49:18.669,446835,AM1V310 @394D30,66217,8B03CB01FDFF,907,459,-3
27/07/2020 15:49:18.730,446896,AM1V310 @394D30,66223,7B03AE01DFFF,891,430,-33
27/07/2020 15:49:18.790,446956,AM1V310 @394D30,66229,6503B1010200,869,433,2
27/07/2020 15:49:18.821,446987,AM1V310 @394D30,66236,4A039E01A6FF,842,414,-90
27/07/2020 15:49:18.880,447046,AM1V310 @394D30,66242,6A039E01B8FF,874,414,-72
27/07/2020 15:49:18.940,447105,AM1V310 @394D30,66248,9E039F01BBFF,926,415,-69
27/07/2020 15:49:18.970,447136,AM1V310 @394D30,66254,86039301F3FF,902,403,-13
27/07/2020 15:49:19.029,447195,AM1V310 @394D30,66261,AA03A601F9FF,938,422,-7
27/07/2020 15:49:19.090,447256,AM1V310 @394D30,66267,8803B3010400,904,435,4
27/07/2020 15:49:19.120,447285,AM1V310 @394D30,66273,5603AB01C4FF,854,427,-60
27/07/2020 15:49:19.180,447345,AM1V310 @394D30,66279,77037B01BDFF,887,379,-67
27/07/2020 15:49:19.240,447406,AM1V310 @394D30,66286,8E038C01B3FF,910,396,-77
27/07/2020 15:49:19.269,447435,AM1V310 @394D30,66292,A803CB013500,936,459,53
27/07/2020 15:49:19.330,447496,AM1V310 @394D30,66298,BF03C1016700,959,449,103
27/07/2020 15:49:19.392,447558,AM1V310 @394D30,66304,8003A401B0FF,896,420,-80
