Logged started on,31/07/2020 10:20:02
Feature,Gyroscope
Nodes,AM1V310 @394D30

Date,HostTimestamp,NodeName,NodeTimestamp,RawData,X (dps),Y (dps),Z (dps)
31/07/2020 10:27:48.063,465885,AM1V310 @394D30,60425,E1FFF8FFE4FF,-3.1,-0.8,-2.8
31/07/2020 10:27:48.092,465912,AM1V310 @394D30,60431,FFFF0A00BDFF,-0.1,1,-6.7
31/07/2020 10:27:48.153,465973,AM1V310 @394D30,60437,3F00EFFFD4FF,6.3,-1.7,-4.4
31/07/2020 10:27:48.213,466033,AM1V310 @394D30,60444,3A00F2FFEBFF,5.8,-1.4,-2.1
31/07/2020 10:27:48.245,466065,AM1V310 @394D30,60450,6D00F7FFC8FF,10.9,-0.9,-5.6
31/07/2020 10:27:48.303,466123,AM1V310 @394D30,60456,38000F0085FF,5.6,1.5,-12.3
31/07/2020 10:27:48.364,466184,AM1V310 @394D30,60462,39000D00ADFF,5.7,1.3,-8.3
31/07/2020 10:27:48.392,466212,AM1V310 @394D30,60469,3000D2FFC4FF,4.8,-4.6,-6
31/07/2020 10:27:48.484,466304,AM1V310 @394D30,60475,0900DDFFC8FF,0.9,-3.5,-5.6
31/07/2020 10:27:48.513,466333,AM1V310 @394D30,60481,0E00E0FFBAFF,1.4,-3.2,-7
31/07/2020 10:27:48.543,466363,AM1V310 @394D30,60487,E2FF100090FF,-3,1.6,-11.2
31/07/2020 10:27:48.603,466423,AM1V310 @394D30,60494,F9FF1800F3FE,-0.7,2.4,-26.9
31/07/2020 10:27:48.663,466483,AM1V310 @394D30,60500,CCFFE900B5FC,-5.2,23.3,-84.3
31/07/2020 10:27:48.693,466513,AM1V310 @394D30,60506,45030902BDF8,83.7,52.1,-185.9
31/07/2020 10:27:48.753,466573,AM1V310 @394D30,60512,1C04D5019FF9,105.2,46.9,-163.3
31/07/2020 10:27:48.812,466632,AM1V310 @394D30,60519,18F795029508,-228,66.1,219.7
31/07/2020 10:27:48.842,466662,AM1V310 @394D30,60525,BE056A02EB0E,147,61.8,381.9
31/07/2020 10:27:48.902,466722,AM1V310 @394D30,60531,A10565025D0E,144.1,61.3,367.7
31/07/2020 10:27:48.963,466783,AM1V310 @394D30,60537,40018B03AE07,32,90.7,196.6
31/07/2020 10:27:49.006,466826,AM1V310 @394D30,60544,8FF60004EEFF,-241.7,102.4,-1.8
31/07/2020 10:27:49.052,466872,AM1V310 @394D30,60550,810469005AFE,115.3,10.5,-42.2
31/07/2020 10:27:49.113,466933,AM1V310 @394D30,60556,95FD85FD61FB,-61.9,-63.5,-118.3
31/07/2020 10:27:49.142,466962,AM1V310 @394D30,60562,D8008AFD4DF8,21.6,-63,-197.1
31/07/2020 10:27:49.202,467022,AM1V310 @394D30,60569,A2FDD1FCECF9,-60.6,-81.5,-155.6
31/07/2020 10:27:49.263,467083,AM1V310 @394D30,60575,57F370FD7AFB,-324.1,-65.6,-115.8
31/07/2020 10:27:49.292,467112,AM1V310 @394D30,60581,4A0279FFA4FB,58.6,-13.5,-111.6
31/07/2020 10:27:49.353,467173,AM1V310 @394D30,60587,88039BFF10FE,90.4,-10.1,-49.6
31/07/2020 10:27:49.413,467233,AM1V310 @394D30,60594,9D0272FED3FD,66.9,-39.8,-55.7
31/07/2020 10:27:49.442,467262,AM1V310 @394D30,60600,AB0596006B00,145.1,15,10.7
31/07/2020 10:27:49.504,467323,AM1V310 @394D30,60606,E801B8FF54FF,48.8,-7.2,-17.2
31/07/2020 10:27:49.564,467383,AM1V310 @394D30,60612,9E00B700EFFF,15.8,18.3,-1.7
31/07/2020 10:27:49.592,467412,AM1V310 @394D30,60619,5600B8FF4F00,8.6,-7.2,7.9
31/07/2020 10:27:49.653,467473,AM1V310 @394D30,60625,D1FFACFFAFFF,-4.7,-8.4,-8.1
31/07/2020 10:27:49.713,467533,AM1V310 @394D30,60631,25FFEEFFE7FF,-21.9,-1.8,-2.5
31/07/2020 10:27:49.773,467592,AM1V310 @394D30,60637,03FC97FE8800,-102.1,-36.1,13.6
31/07/2020 10:27:49.803,467623,AM1V310 @394D30,60644,960197FE9100,40.6,-36.1,14.5
31/07/2020 10:27:49.863,467682,AM1V310 @394D30,60650,DAFD3BFF2300,-55,-19.7,3.5
31/07/2020 10:27:49.892,467712,AM1V310 @394D30,60656,FEFE62FF2000,-25.8,-15.8,3.2
31/07/2020 10:27:49.953,467773,AM1V310 @394D30,60662,4600A1FFEBFF,7,-9.5,-2.1
31/07/2020 10:27:50.013,467833,AM1V310 @394D30,60669,D4FFAEFFD3FF,-4.4,-8.2,-4.5
31/07/2020 10:27:50.043,467863,AM1V310 @394D30,60675,A400D9FFF2FF,16.4,-3.9,-1.4
31/07/2020 10:27:50.102,467922,AM1V310 @394D30,60681,9A00D0FFDBFF,15.4,-4.8,-3.7
31/07/2020 10:27:50.164,467984,AM1V310 @394D30,60687,E000EEFFC4FF,22.4,-1.8,-6
31/07/2020 10:27:50.192,468012,AM1V310 @394D30,60694,F0FFD8FFBAFF,-1.6,-4,-7
31/07/2020 10:27:50.253,468073,AM1V310 @394D30,60700,6BFFB9FF1500,-14.9,-7.1,2.1
31/07/2020 10:27:50.344,468164,AM1V310 @394D30,60706,0900CCFF0400,0.9,-5.2,0.4
31/07/2020 10:27:50.371,468191,AM1V310 @394D30,60712,3E00DBFF0C00,6.2,-3.7,1.2
31/07/2020 10:27:50.403,468223,AM1V310 @394D30,60719,C500EBFFEDFF,19.7,-2.1,-1.9
