Logged started on,24/07/2020 16:18:15
Feature,Accelerometer
Nodes,AM1V310 @394D30

Date,HostTimestamp,NodeName,NodeTimestamp,RawData,X (mg),Y (mg),Z (mg)
24/07/2020 16:25:03.505,408277,AM1V310 @394D30,115893,CF03FC011100,975,508,17
24/07/2020 16:25:03.534,408299,AM1V310 @394D30,115899,C103F3017200,961,499,114
24/07/2020 16:25:03.594,408360,AM1V310 @394D30,115905,7E0387011000,894,391,16
24/07/2020 16:25:03.654,408420,AM1V310 @394D30,115912,450425014400,1093,293,68
24/07/2020 16:25:03.685,408451,AM1V310 @394D30,115918,69052D008D00,1385,45,141
24/07/2020 16:25:03.745,408510,AM1V310 @394D30,115924,650460FED600,1125,-416,214
24/07/2020 16:25:03.805,408571,AM1V310 @394D30,115930,0E04AFF8FB02,1038,-1873,763
24/07/2020 16:25:03.834,408600,AM1V310 @394D30,115937,E00507FC1B02,1504,-1017,539
24/07/2020 16:25:03.895,408660,AM1V310 @394D30,115943,C9070305BFFF,1993,1283,-65
24/07/2020 16:25:03.954,408720,AM1V310 @394D30,115949,730591FEB602,1395,-367,694
24/07/2020 16:25:03.985,408750,AM1V310 @394D30,115955,CE078F01B6FF,1998,399,-74
24/07/2020 16:25:04.045,408810,AM1V310 @394D30,115962,F10610018EFF,1777,272,-114
24/07/2020 16:25:04.135,408901,AM1V310 @394D30,115968,CF033202DFFF,975,562,-33
24/07/2020 16:25:04.152,408917,AM1V310 @394D30,115974,7B0294010200,635,404,2
24/07/2020 16:25:04.195,408960,AM1V310 @394D30,115980,A501BCFEA8FE,421,-324,-344
24/07/2020 16:25:04.255,409021,AM1V310 @394D30,115987,290292FF0000,553,-110,0
24/07/2020 16:25:04.284,409050,AM1V310 @394D30,115993,73023EFF3901,627,-194,313
24/07/2020 16:25:04.346,409111,AM1V310 @394D30,115999,9F02FFFF1B00,671,-1,27
24/07/2020 16:25:04.436,409201,AM1V310 @394D30,116005,7102AC0037FF,625,172,-201
24/07/2020 16:25:04.436,409202,AM1V310 @394D30,116012,C005D901AA00,1472,473,170
24/07/2020 16:25:04.495,409261,AM1V310 @394D30,116018,A60313FB0202,934,-1261,514
24/07/2020 16:25:04.555,409321,AM1V310 @394D30,116024,CE0775F9D6FC,1998,-1675,-810
24/07/2020 16:25:04.584,409350,AM1V310 @394D30,116030,4D022F0231FE,589,559,-463
24/07/2020 16:25:04.645,409410,AM1V310 @394D30,116037,85059E01DDFF,1413,414,-35
24/07/2020 16:25:04.705,409471,AM1V310 @394D30,116043,4E038D01EAFF,846,397,-22
24/07/2020 16:25:04.735,409500,AM1V310 @394D30,116049,4C038501E2FF,844,389,-30
24/07/2020 16:25:04.795,409560,AM1V310 @394D30,116055,E2037C017100,994,380,113
24/07/2020 16:25:04.855,409620,AM1V310 @394D30,116062,9C03CC01C500,924,460,197
24/07/2020 16:25:04.885,409650,AM1V310 @394D30,116068,A8036801E3FF,936,360,-29
24/07/2020 16:25:04.945,409710,AM1V310 @394D30,116074,9C0337016DFF,924,311,-147
24/07/2020 16:25:05.005,409771,AM1V310 @394D30,116080,B203C301D7FF,946,451,-41
24/07/2020 16:25:05.034,409800,AM1V310 @394D30,116087,79038801E1FF,889,392,-31
24/07/2020 16:25:05.095,409860,AM1V310 @394D30,116093,9D03D4010E00,925,468,14
24/07/2020 16:25:05.184,409950,AM1V310 @394D30,116099,8803C1012C00,904,449,44
24/07/2020 16:25:05.215,409980,AM1V310 @394D30,116105,B503D2018700,949,466,135
24/07/2020 16:25:05.244,410010,AM1V310 @394D30,116112,5803CC016EFF,856,460,-146
24/07/2020 16:25:05.305,410070,AM1V310 @394D30,116118,7E03B3013700,894,435,55
24/07/2020 16:25:05.335,410100,AM1V310 @394D30,116124,B0036C014FFF,944,364,-177
24/07/2020 16:25:05.395,410160,AM1V310 @394D30,116130,82035101B8FF,898,337,-72
24/07/2020 16:25:05.455,410221,AM1V310 @394D30,116137,8B0342011500,907,322,21
24/07/2020 16:25:05.484,410250,AM1V310 @394D30,116143,B4033A01EEFF,948,314,-18
24/07/2020 16:25:05.545,410311,AM1V310 @394D30,116149,B603360156FF,950,310,-170
24/07/2020 16:25:05.605,410370,AM1V310 @394D30,116155,B50339017FFF,949,313,-129
24/07/2020 16:25:05.635,410400,AM1V310 @394D30,116162,9B031E0197FF,923,286,-105
