Logged started on,27/07/2020 15:41:51
Feature,Magnetometer
Nodes,AM1V310 @394D30

Date,HostTimestamp,NodeName,NodeTimestamp,RawData,X (mGa),Y (mGa),Z (mGa)
27/07/2020 15:45:08.257,196433,AM1V310 @394D30,34911,6AFE0BFFEEFE,-406,-245,-274
27/07/2020 15:45:08.347,196513,AM1V310 @394D30,34917,47FE30FF10FF,-441,-208,-240
27/07/2020 15:45:08.376,196542,AM1V310 @394D30,34923,2CFE3EFF15FF,-468,-194,-235
27/07/2020 15:45:08.407,196572,AM1V310 @394D30,34929,5FFE26FFDDFE,-417,-218,-291
27/07/2020 15:45:08.467,196633,AM1V310 @394D30,34936,76FED0FEDDFE,-394,-304,-291
27/07/2020 15:45:08.527,196693,AM1V310 @394D30,34942,C1FE81FEC8FE,-319,-383,-312
27/07/2020 15:45:08.559,196725,AM1V310 @394D30,34948,15FF37FECEFE,-235,-457,-306
27/07/2020 15:45:08.616,196782,AM1V310 @394D30,34954,FFFFD7FDE0FE,-1,-553,-288
27/07/2020 15:45:08.677,196843,AM1V310 @394D30,34961,A200E2FDFAFE,162,-542,-262
27/07/2020 15:45:08.706,196872,AM1V310 @394D30,34967,E70001FEEEFE,231,-511,-274
27/07/2020 15:45:08.767,196933,AM1V310 @394D30,34973,D5000AFED1FE,213,-502,-303
27/07/2020 15:45:08.827,196993,AM1V310 @394D30,34979,AB00FBFDB3FE,171,-517,-333
27/07/2020 15:45:08.857,197022,AM1V310 @394D30,34986,6900EFFDA0FE,105,-529,-352
27/07/2020 15:45:08.917,197083,AM1V310 @394D30,34992,4B00C4FDB3FE,75,-572,-333
27/07/2020 15:45:08.977,197142,AM1V310 @394D30,34998,E2FFA6FDB6FE,-30,-602,-330
27/07/2020 15:45:09.018,197184,AM1V310 @394D30,35004,8BFF9DFDB8FE,-117,-611,-328
27/07/2020 15:45:09.067,197233,AM1V310 @394D30,35011,18FFA0FDB5FE,-232,-608,-331
27/07/2020 15:45:09.126,197292,AM1V310 @394D30,35017,CBFEBCFDBBFE,-309,-580,-325
27/07/2020 15:45:09.157,197322,AM1V310 @394D30,35023,98FEC8FDD1FE,-360,-568,-303
27/07/2020 15:45:09.216,197382,AM1V310 @394D30,35029,70FED4FDE5FE,-400,-556,-283
27/07/2020 15:45:09.307,197473,AM1V310 @394D30,35036,64FEDAFDF5FE,-412,-550,-267
27/07/2020 15:45:09.334,197500,AM1V310 @394D30,35042,55FED6FD07FF,-427,-554,-249
27/07/2020 15:45:09.367,197533,AM1V310 @394D30,35048,50FED6FD18FF,-432,-554,-232
27/07/2020 15:45:09.427,197593,AM1V310 @394D30,35054,4AFEC8FD18FF,-438,-568,-232
27/07/2020 15:45:09.457,197622,AM1V310 @394D30,35061,4DFED0FD1EFF,-435,-560,-226
27/07/2020 15:45:09.517,197683,AM1V310 @394D30,35067,43FED4FD1EFF,-445,-556,-226
27/07/2020 15:45:09.577,197743,AM1V310 @394D30,35073,3DFED6FD1BFF,-451,-554,-229
27/07/2020 15:45:09.606,197772,AM1V310 @394D30,35079,3AFEDDFD25FF,-454,-547,-219
27/07/2020 15:45:09.667,197832,AM1V310 @394D30,35086,35FED6FD24FF,-459,-554,-220
27/07/2020 15:45:09.727,197893,AM1V310 @394D30,35092,26FEE5FD30FF,-474,-539,-208
27/07/2020 15:45:09.757,197923,AM1V310 @394D30,35098,22FEE3FD31FF,-478,-541,-207
27/07/2020 15:45:09.817,197982,AM1V310 @394D30,35104,1CFEDDFD2EFF,-484,-547,-210
27/07/2020 15:45:09.876,198042,AM1V310 @394D30,35111,1CFEF1FD2DFF,-484,-527,-211
27/07/2020 15:45:09.906,198072,AM1V310 @394D30,35117,1FFEE2FD28FF,-481,-542,-216
27/07/2020 15:45:09.966,198132,AM1V310 @394D30,35123,25FEDFFD2DFF,-475,-545,-211
27/07/2020 15:45:10.028,198193,AM1V310 @394D30,35129,1DFEEBFD2AFF,-483,-533,-214
27/07/2020 15:45:10.057,198223,AM1V310 @394D30,35136,20FEE9FD28FF,-480,-535,-216
27/07/2020 15:45:10.118,198284,AM1V310 @394D30,35142,1AFEE9FD22FF,-486,-535,-222
27/07/2020 15:45:10.176,198342,AM1V310 @394D30,35148,1DFEF8FD1EFF,-483,-520,-226
27/07/2020 15:45:10.207,198372,AM1V310 @394D30,35154,19FEF4FD18FF,-487,-524,-232
27/07/2020 15:45:10.267,198433,AM1V310 @394D30,35161,19FEFBFD12FF,-487,-517,-238
27/07/2020 15:45:10.327,198493,AM1V310 @394D30,35167,10FE00FE0CFF,-496,-512,-244
27/07/2020 15:45:10.357,198523,AM1V310 @394D30,35173,10FE0AFE09FF,-496,-502,-247
27/07/2020 15:45:10.447,198613,AM1V310 @394D30,35179,16FE12FEFBFE,-490,-494,-261
27/07/2020 15:45:10.476,198642,AM1V310 @394D30,35186,14FE0DFE01FF,-492,-499,-255
27/07/2020 15:45:10.507,198673,AM1V310 @394D30,35192,1DFE07FE01FF,-483,-505,-255
