Logged started on,31/07/2020 10:20:02
Feature,Gyroscope
Nodes,AM1V310 @394D30

Date,HostTimestamp,NodeName,NodeTimestamp,RawData,X (dps),Y (dps),Z (dps)
31/07/2020 10:23:51.872,229703,AM1V310 @394D30,30900,CBFF0D00BFFF,-5.3,1.3,-6.5
31/07/2020 10:23:51.933,229753,AM1V310 @394D30,30906,D0FFF5FFFAFF,-4.8,-1.1,-0.6
31/07/2020 10:23:51.992,229812,AM1V310 @394D30,30912,FEFFD9FF2100,-0.2,-3.9,3.3
31/07/2020 10:23:52.023,229843,AM1V310 @394D30,30919,09002000A3FF,0.9,3.2,-9.3
31/07/2020 10:23:52.083,229903,AM1V310 @394D30,30925,25004900EFFE,3.7,7.3,-27.3
31/07/2020 10:23:52.143,229963,AM1V310 @394D30,30931,24007B00AFFE,3.6,12.3,-33.7
31/07/2020 10:23:52.172,229992,AM1V310 @394D30,30937,4D078201FEFC,186.9,38.6,-77
31/07/2020 10:23:52.233,230053,AM1V310 @394D30,30944,8A066E0182FC,167.4,36.6,-89.4
31/07/2020 10:23:52.293,230113,AM1V310 @394D30,30950,62055001ADFC,137.8,33.6,-85.1
31/07/2020 10:23:52.324,230144,AM1V310 @394D30,30956,CB0045016F01,20.3,32.5,36.7
31/07/2020 10:23:52.383,230203,AM1V310 @394D30,30962,FE0035010A05,25.4,30.9,129
31/07/2020 10:23:52.443,230263,AM1V310 @394D30,30969,A1FCDA017906,-86.3,47.4,165.7
31/07/2020 10:23:52.472,230292,AM1V310 @394D30,30975,E3FDB3017507,-54.1,43.5,190.9
31/07/2020 10:23:52.534,230353,AM1V310 @394D30,30981,6D01AE026007,36.5,68.6,188.8
31/07/2020 10:23:52.593,230413,AM1V310 @394D30,30987,4A027D03F005,58.6,89.3,152
31/07/2020 10:23:52.622,230442,AM1V310 @394D30,30994,B5FF6A03A503,-7.5,87.4,93.3
31/07/2020 10:23:52.684,230503,AM1V310 @394D30,31000,72FC5300A100,-91,8.3,16.1
31/07/2020 10:23:52.742,230562,AM1V310 @394D30,31006,6A022DFF41FC,61.8,-21.1,-95.9
31/07/2020 10:23:52.772,230592,AM1V310 @394D30,31012,06FB20FE30FA,-127.4,-48,-148.8
31/07/2020 10:23:52.833,230653,AM1V310 @394D30,31019,22FBE7FDA4F5,-124.6,-53.7,-265.2
31/07/2020 10:23:52.893,230713,AM1V310 @394D30,31025,2203A3FF9AF8,80.2,-9.3,-189.4
31/07/2020 10:23:52.922,230742,AM1V310 @394D30,31031,FE0987000EFD,255.8,13.5,-75.4
31/07/2020 10:23:52.983,230803,AM1V310 @394D30,31037,6103EAFFEFFD,86.5,-2.2,-52.9
31/07/2020 10:23:53.043,230863,AM1V310 @394D30,31044,CB0A93017102,276.3,40.3,62.5
31/07/2020 10:23:53.073,230893,AM1V310 @394D30,31050,F60626FF6302,178.2,-21.8,61.1
31/07/2020 10:23:53.133,230953,AM1V310 @394D30,31056,9BFFDAFE6103,-10.1,-29.4,86.5
31/07/2020 10:23:53.194,231014,AM1V310 @394D30,31062,38FEBCFE0801,-45.6,-32.4,26.4
31/07/2020 10:23:53.222,231042,AM1V310 @394D30,31069,5DFB56FF90FE,-118.7,-17,-36.8
31/07/2020 10:23:53.284,231103,AM1V310 @394D30,31075,42003900E0FF,6.6,5.7,-3.2
31/07/2020 10:23:53.342,231162,AM1V310 @394D30,31081,C801CEFE79FF,45.6,-30.6,-13.5
31/07/2020 10:23:53.372,231192,AM1V310 @394D30,31087,600019FF2F00,9.6,-23.1,4.7
31/07/2020 10:23:53.433,231252,AM1V310 @394D30,31094,3C05F1FFA2FE,134,-1.5,-35
31/07/2020 10:23:53.492,231312,AM1V310 @394D30,31100,3F00B7FF23FF,6.3,-7.3,-22.1
31/07/2020 10:23:53.522,231342,AM1V310 @394D30,31106,5AFE27FF1300,-42.2,-21.7,1.9
31/07/2020 10:23:53.583,231402,AM1V310 @394D30,31112,77FF69FF0900,-13.7,-15.1,0.9
31/07/2020 10:23:53.642,231462,AM1V310 @394D30,31119,D8FE9EFF0500,-29.6,-9.8,0.5
31/07/2020 10:23:53.672,231492,AM1V310 @394D30,31125,F2FFD4FFC7FF,-1.4,-4.4,-5.7
