Logged started on,3/8/20 12:58,,,,,,
Feature,Accelerometer,,,,,,
Nodes,AM1V310 @394D30,,,,,,
,,,,,,,
Date,HostTimestamp,NodeName,NodeTimestamp,RawData,X (mg),Y (mg),Z (mg)
06:34.1,497410,AM1V310 @394D30,84017,F4033C00B5FF,1012,60,-75
06:34.2,497469,AM1V310 @394D30,84023,D403D9FFBBFF,980,-39,-69
06:34.2,497500,AM1V310 @394D30,84030,CE034700AFFF,974,71,-81
06:34.3,497559,AM1V310 @394D30,84036,630486000D00,1123,134,13
06:34.3,497619,AM1V310 @394D30,84042,6003150087FF,864,21,-121
06:34.4,497649,AM1V310 @394D30,84048,2604FF001400,1062,255,20
06:34.4,497710,AM1V310 @394D30,84055,B6030B01AFFE,950,267,-337
06:34.5,497770,AM1V310 @394D30,84061,450483015D00,1093,387,93
06:34.5,497814,AM1V310 @394D30,84067,C404F300E2FF,1220,243,-30
06:34.6,497859,AM1V310 @394D30,84073,2.01E+11,1312,104,51
06:34.6,497919,AM1V310 @394D30,84080,B30306FDCA03,947,-762,970
06:34.7,497951,AM1V310 @394D30,84086,31057FFF2805,1329,-129,1320
06:34.7,498010,AM1V310 @394D30,84092,3E0757FB7900,1854,-1193,121
06:34.8,498070,AM1V310 @394D30,84098,0307D2F9F404,1795,-1582,1268
06:34.8,498102,AM1V310 @394D30,84105,CD0745F81102,1997,-1979,529
06:34.9,498165,AM1V310 @394D30,84111,CD078CFF9D06,1997,-116,1693
06:35.0,498278,AM1V310 @394D30,84117,C805190122FF,1480,281,-222
06:35.0,498278,AM1V310 @394D30,84123,4404980155FD,1092,408,-683
06:35.1,498386,AM1V310 @394D30,84130,05019706E0FC,261,1687,-800
06:35.1,498387,AM1V310 @394D30,84136,4201CD0716FE,322,1997,-490
06:35.1,498430,AM1V310 @394D30,84142,EF04DF060FFE,1263,1759,-497
06:35.2,498459,AM1V310 @394D30,84148,B906930446FE,1721,1171,-442
06:35.2,498520,AM1V310 @394D30,84155,CD0738FE8B03,1997,-456,907
06:35.3,498550,AM1V310 @394D30,84161,F40332F8F802,1012,-1998,760
06:35.3,498610,AM1V310 @394D30,84167,AA075602AB02,1962,598,683
06:35.4,498670,AM1V310 @394D30,84173,CE035EF875F9,974,-1954,-1675
06:35.4,498702,AM1V310 @394D30,84180,CD07A3019900,1997,419,153
06:35.5,498791,AM1V310 @394D30,84186,7103DE02A2FE,881,734,-350
06:35.6,498850,AM1V310 @394D30,84198,270291018AFE,551,401,-374
06:35.6,498850,AM1V310 @394D30,84192,7A044C02B400,1146,588,180
06:35.6,498910,AM1V310 @394D30,84205,8803AD015800,904,429,88
06:35.7,498969,AM1V310 @394D30,84211,E303E702C8FD,995,743,-568
06:35.7,498999,AM1V310 @394D30,84217,AF03B101A3FF,943,433,-93
06:35.8,499060,AM1V310 @394D30,84223,BE03220109FF,958,290,-247
06:35.8,499120,AM1V310 @394D30,84230,1704DF013CFF,1047,479,-196
06:35.9,499150,AM1V310 @394D30,84236,A1033D0154FF,929,317,-172
06:35.9,499209,AM1V310 @394D30,84242,A30320011DFF,931,288,-227
06:36.0,499270,AM1V310 @394D30,84248,83030C012BFF,899,268,-213
06:36.0,499301,AM1V310 @394D30,84255,A903F7002AFF,937,247,-214
06:36.1,499359,AM1V310 @394D30,84261,950312013AFF,917,274,-198
06:36.1,499420,AM1V310 @394D30,84267,C903200145FF,969,288,-187
06:36.2,499479,AM1V310 @394D30,84273,7B03DA00FAFE,891,218,-262
06:36.2,499510,AM1V310 @394D30,84280,BC03F90072FF,956,249,-142
06:36.3,499569,AM1V310 @394D30,84286,A603160134FF,934,278,-204
06:36.3,499600,AM1V310 @394D30,84292,AC03010157FF,940,257,-169
06:36.4,499660,AM1V310 @394D30,84298,B003130142FF,944,275,-190
06:36.4,499719,AM1V310 @394D30,84305,B40330014CFF,948,304,-180
06:36.5,499750,AM1V310 @394D30,84311,B403120159FF,948,274,-167
06:23.0,486312,AM1V310 @394D30,82630,D203CE003DFF,978,206,-195
06:23.1,486369,AM1V310 @394D30,82636,D403DC003CFF,980,220,-196
