Logged started on,31/07/2020 10:20:02
Feature,Gyroscope
Nodes,AM1V310 @394D30

Date,HostTimestamp,NodeName,NodeTimestamp,RawData,X (dps),Y (dps),Z (dps)
31/07/2020 10:34:59.643,897473,AM1V310 @394D30,114381,3A000001B3FA,5.8,25.6,-135.7
31/07/2020 10:34:59.673,897493,AM1V310 @394D30,114387,58FE90038207,-42.4,91.2,192.2
31/07/2020 10:34:59.734,897554,AM1V310 @394D30,114394,31045D03F20E,107.3,86.1,382.6
31/07/2020 10:34:59.793,897613,AM1V310 @394D30,114400,E8FE0602A70E,-28,51.8,375.1
31/07/2020 10:34:59.823,897643,AM1V310 @394D30,114406,AA00AD01AD0A,17,42.9,273.3
31/07/2020 10:34:59.884,897704,AM1V310 @394D30,114412,77FFD7028A05,-13.7,72.7,141.8
31/07/2020 10:34:59.943,897763,AM1V310 @394D30,114419,7DF8770113FD,-192.3,37.5,-74.9
31/07/2020 10:34:59.973,897793,AM1V310 @394D30,114425,340918FF66F9,235.6,-23.2,-169
31/07/2020 10:35:00.034,897854,AM1V310 @394D30,114431,1D02F3FC89F8,54.1,-78.1,-191.1
31/07/2020 10:35:00.093,897913,AM1V310 @394D30,114437,B0FDFDF913F9,-59.2,-153.9,-177.3
31/07/2020 10:35:00.123,897942,AM1V310 @394D30,114444,47F823FCE4F8,-197.7,-98.9,-182
31/07/2020 10:35:00.213,898034,AM1V310 @394D30,114450,2F00F3002FF8,4.7,24.3,-200.1
31/07/2020 10:35:00.243,898062,AM1V310 @394D30,114456,C506C10016FB,173.3,19.3,-125.8
31/07/2020 10:35:00.273,898093,AM1V310 @394D30,114462,01005904C7FC,0.1,111.3,-82.5
31/07/2020 10:35:00.334,898154,AM1V310 @394D30,114469,4902350042FE,58.5,5.3,-44.6
31/07/2020 10:35:00.393,898213,AM1V310 @394D30,114475,D9001EFFBCFF,21.7,-22.6,-6.8
31/07/2020 10:35:00.424,898244,AM1V310 @394D30,114481,C0FB7700DF01,-108.8,11.9,47.9
31/07/2020 10:35:00.486,898305,AM1V310 @394D30,114487,BF01EFFED900,44.7,-27.3,21.7
31/07/2020 10:35:00.543,898363,AM1V310 @394D30,114494,8C00D3FE4D00,14,-30.1,7.7
31/07/2020 10:35:00.573,898393,AM1V310 @394D30,114500,EBFF23FF3A00,-2.1,-22.1,5.8
31/07/2020 10:35:00.633,898453,AM1V310 @394D30,114506,8DFE15FF5600,-37.1,-23.5,8.6
31/07/2020 10:35:00.692,898512,AM1V310 @394D30,114512,880040FFDFFF,13.6,-19.2,-3.3
31/07/2020 10:35:00.722,898542,AM1V310 @394D30,114519,0C017EFF2900,26.8,-13,4.1
31/07/2020 10:35:00.783,898603,AM1V310 @394D30,114525,72008CFF3C00,11.4,-11.6,6
31/07/2020 10:35:00.843,898662,AM1V310 @394D30,114531,8E007EFF2C00,14.2,-13,4.4
31/07/2020 10:35:00.873,898692,AM1V310 @394D30,114537,80004BFF4400,12.8,-18.1,6.8
31/07/2020 10:35:00.933,898753,AM1V310 @394D30,114544,880072FF5D00,13.6,-14.2,9.3
31/07/2020 10:35:00.993,898812,AM1V310 @394D30,114550,110162FFB600,27.3,-15.8,18.2
31/07/2020 10:35:01.022,898842,AM1V310 @394D30,114556,6100FAFE4501,9.7,-26.2,32.5
31/07/2020 10:35:01.083,898903,AM1V310 @394D30,114562,200093FEA601,3.2,-36.5,42.2
31/07/2020 10:35:01.143,898963,AM1V310 @394D30,114569,A200D6FED401,16.2,-29.8,46.8
31/07/2020 10:35:01.172,898992,AM1V310 @394D30,114575,BC0076FEC701,18.8,-39.4,45.5
31/07/2020 10:35:01.233,899053,AM1V310 @394D30,114581,2C01D3FD2601,30,-55.7,29.4
31/07/2020 10:35:01.293,899113,AM1V310 @394D30,114587,4C02CFFDBCFF,58.8,-56.1,-6.8
31/07/2020 10:35:01.323,899143,AM1V310 @394D30,114594,C400C8FC2300,19.6,-82.4,3.5
31/07/2020 10:35:01.383,899202,AM1V310 @394D30,114600,2A0090FCFC00,4.2,-88,25.2
31/07/2020 10:35:01.443,899263,AM1V310 @394D30,114606,B3FF93FD0303,-7.7,-62.1,77.1
31/07/2020 10:35:01.473,899293,AM1V310 @394D30,114612,1F0220FF2E03,54.3,-22.4,81.4
31/07/2020 10:35:01.534,899354,AM1V310 @394D30,114619,CA07C2FF9D02,199.4,-6.2,66.9
31/07/2020 10:35:01.594,899414,AM1V310 @394D30,114625,3409F800E000,235.6,24.8,22.4
