Logged started on,31/07/2020 10:20:02
Feature,Accelerometer
Nodes,AM1V310 @394D30

Date,HostTimestamp,NodeName,NodeTimestamp,RawData,X (mg),Y (mg),Z (mg)
31/07/2020 10:32:10.143,727970,AM1V310 @394D30,93194,D9032A00A0FF,985,42,-96
31/07/2020 10:32:10.203,728023,AM1V310 @394D30,93200,E8037400E6FF,1000,116,-26
31/07/2020 10:32:10.264,728083,AM1V310 @394D30,93206,5504200026FF,1109,32,-218
31/07/2020 10:32:10.295,728115,AM1V310 @394D30,93212,CD0737FE1000,1997,-457,16
31/07/2020 10:32:10.353,728173,AM1V310 @394D30,93219,CD0732F820FF,1997,-1998,-224
31/07/2020 10:32:10.412,728232,AM1V310 @394D30,93225,7005A904EFFD,1392,1193,-529
31/07/2020 10:32:10.456,728276,AM1V310 @394D30,93231,34FF0D07DFFE,-204,1805,-289
31/07/2020 10:32:10.503,728323,AM1V310 @394D30,93237,00FE8C066DFF,-512,1676,-147
31/07/2020 10:32:10.564,728384,AM1V310 @394D30,93244,00006E0530FF,0,1390,-208
31/07/2020 10:32:10.593,728412,AM1V310 @394D30,93250,5701FBFB2900,343,-1029,41
31/07/2020 10:32:10.653,728473,AM1V310 @394D30,93256,5DF832F89FFE,-1955,-1998,-353
31/07/2020 10:32:10.713,728533,AM1V310 @394D30,93262,C2F943F9F6FF,-1598,-1725,-10
31/07/2020 10:32:10.742,728562,AM1V310 @394D30,93269,6300B0FDF602,99,-592,758
31/07/2020 10:32:10.802,728622,AM1V310 @394D30,93275,CD07E005EC01,1997,1504,492
31/07/2020 10:32:10.863,728683,AM1V310 @394D30,93281,CB07EC069FFD,1995,1772,-609
31/07/2020 10:32:10.892,728712,AM1V310 @394D30,93287,A70532F833F8,1447,-1998,-1997
31/07/2020 10:32:10.952,728772,AM1V310 @394D30,93294,CD0756007007,1997,86,1904
31/07/2020 10:32:11.012,728832,AM1V310 @394D30,93300,9D054C037100,1437,844,113
31/07/2020 10:32:11.042,728862,AM1V310 @394D30,93306,1D047D0116FF,1053,381,-234
31/07/2020 10:32:11.103,728923,AM1V310 @394D30,93312,C103A90096FF,961,169,-106
31/07/2020 10:32:11.163,728983,AM1V310 @394D30,93319,8B03E0001700,907,224,23
31/07/2020 10:32:11.193,729012,AM1V310 @394D30,93325,ED0382001000,1005,130,16
31/07/2020 10:32:11.253,729073,AM1V310 @394D30,93331,B703420392FF,951,834,-110
31/07/2020 10:32:11.313,729133,AM1V310 @394D30,93337,950252006800,661,82,104
31/07/2020 10:32:11.344,729164,AM1V310 @394D30,93344,8F037400ADFD,911,116,-595
31/07/2020 10:32:11.403,729223,AM1V310 @394D30,93350,19047600A701,1049,118,423
31/07/2020 10:32:11.463,729283,AM1V310 @394D30,93356,FF038D0079FF,1023,141,-135
31/07/2020 10:32:11.493,729313,AM1V310 @394D30,93362,C503D6FFA8FE,965,-42,-344
31/07/2020 10:32:11.553,729373,AM1V310 @394D30,93369,FC03070084FF,1020,7,-124
31/07/2020 10:32:11.613,729433,AM1V310 @394D30,93375,DC03A100E6FF,988,161,-26
31/07/2020 10:32:11.643,729463,AM1V310 @394D30,93381,DA036F00BAFF,986,111,-70
31/07/2020 10:32:11.703,729523,AM1V310 @394D30,93387,E40315008DFF,996,21,-115
