Logged started on,27/07/2020 15:59:12
Feature,Accelerometer
Nodes,AM1V310 @394D30

Date,HostTimestamp,NodeName,NodeTimestamp,RawData,X (mg),Y (mg),Z (mg)
27/07/2020 16:15:00.824,948411,AM1V310 @394D30,127940,AC0640FF6603,1708,-192,870
27/07/2020 16:15:00.876,948456,AM1V310 @394D30,127947,CD0707FFCBFC,1997,-249,-821
27/07/2020 16:15:00.905,948485,AM1V310 @394D30,127953,BD0784FCEEFE,1981,-892,-274
27/07/2020 16:15:00.966,948546,AM1V310 @394D30,127959,21033800A5FE,801,56,-347
27/07/2020 16:15:01.026,948606,AM1V310 @394D30,127965,BC07C8F81506,1980,-1848,1557
27/07/2020 16:15:01.055,948635,AM1V310 @394D30,127972,CD07CD07CE07,1997,1997,1998
27/07/2020 16:15:01.116,948696,AM1V310 @394D30,127978,3203CD070B04,818,1997,1035
27/07/2020 16:15:01.176,948756,AM1V310 @394D30,127984,8B0145073004,395,1861,1072
27/07/2020 16:15:01.205,948786,AM1V310 @394D30,127990,A9FDDBFAC4FD,-599,-1317,-572
27/07/2020 16:15:01.265,948845,AM1V310 @394D30,127997,F0FCF5F9D8FB,-784,-1547,-1064
27/07/2020 16:15:01.326,948906,AM1V310 @394D30,128003,4DFCDEFAD5FB,-947,-1314,-1067
27/07/2020 16:15:01.355,948935,AM1V310 @394D30,128009,CFFC3101F4FD,-817,305,-524
27/07/2020 16:15:01.417,948997,AM1V310 @394D30,128015,0EFC7A01A8FD,-1010,378,-600
27/07/2020 16:15:01.476,949056,AM1V310 @394D30,128022,B5FFD1FD8BFD,-75,-559,-629
27/07/2020 16:15:01.505,949085,AM1V310 @394D30,128028,4D059B05A200,1357,1435,162
27/07/2020 16:15:01.565,949146,AM1V310 @394D30,128034,CD0702FE53FC,1997,-510,-941
27/07/2020 16:15:01.626,949206,AM1V310 @394D30,128040,48033D074E00,840,1853,78
27/07/2020 16:15:01.655,949235,AM1V310 @394D30,128047,84FCE7067206,-892,1767,1650
27/07/2020 16:15:01.716,949297,AM1V310 @394D30,128053,D802D6056EFD,728,1494,-658
27/07/2020 16:15:01.776,949356,AM1V310 @394D30,128059,B70302021302,951,514,531
27/07/2020 16:15:01.806,949386,AM1V310 @394D30,128065,0B025103EAFE,523,849,-278
27/07/2020 16:15:01.866,949446,AM1V310 @394D30,128072,2F04E301D201,1071,483,466
27/07/2020 16:15:01.926,949506,AM1V310 @394D30,128078,26033D02FEFE,806,573,-258
27/07/2020 16:15:01.955,949535,AM1V310 @394D30,128084,0404B0000C00,1028,176,12
27/07/2020 16:15:02.046,949627,AM1V310 @394D30,128090,1E031B0180FF,798,283,-128
27/07/2020 16:15:02.075,949655,AM1V310 @394D30,128097,1A03FB0052FF,794,251,-174
27/07/2020 16:15:02.136,949716,AM1V310 @394D30,128103,B503B400DBFF,949,180,-37
27/07/2020 16:15:02.166,949746,AM1V310 @394D30,128109,31040401E7FF,1073,260,-25
27/07/2020 16:15:02.226,949806,AM1V310 @394D30,128115,B103D5000D00,945,213,13
27/07/2020 16:15:02.255,949835,AM1V310 @394D30,128122,B403F80021FF,948,248,-223
27/07/2020 16:15:02.316,949897,AM1V310 @394D30,128128,DF03BF00A8FF,991,191,-88
27/07/2020 16:15:02.376,949957,AM1V310 @394D30,128134,BB03BA00C4FF,955,186,-60
27/07/2020 16:15:02.405,949985,AM1V310 @394D30,128140,A9030001A4FF,937,256,-92
27/07/2020 16:15:02.466,950046,AM1V310 @394D30,128147,B403B200B5FF,948,178,-75
27/07/2020 16:15:02.526,950106,AM1V310 @394D30,128153,DB03ED007EFF,987,237,-130
