Logged started on,27/07/2020 15:59:12
Feature,Gyroscope
Nodes,AM1V310 @394D30

Date,HostTimestamp,NodeName,NodeTimestamp,RawData,X (dps),Y (dps),Z (dps)
27/07/2020 16:16:46.297,1053889,AM1V310 @394D30,141128,40FFF200F4FE,-19.2,24.2,-26.8
27/07/2020 16:16:46.358,1053938,AM1V310 @394D30,141134,66FF8F01A0FD,-15.4,39.9,-60.8
27/07/2020 16:16:46.387,1053967,AM1V310 @394D30,141140,B0FDBC036FFB,-59.2,95.6,-116.9
27/07/2020 16:16:46.447,1054027,AM1V310 @394D30,141147,D8FE2D0465F9,-29.6,106.9,-169.1
27/07/2020 16:16:46.507,1054087,AM1V310 @394D30,141153,1C03CB046AF6,79.6,122.7,-245.4
27/07/2020 16:16:46.537,1054117,AM1V310 @394D30,141159,6BFF48022E00,-14.9,58.4,4.6
27/07/2020 16:16:46.597,1054178,AM1V310 @394D30,141165,42F446002206,-300.6,7,157
27/07/2020 16:16:46.657,1054237,AM1V310 @394D30,141172,C9F8CDF8840C,-184.7,-184.3,320.4
27/07/2020 16:16:46.688,1054268,AM1V310 @394D30,141178,E80665F7D50C,176.8,-220.3,328.5
27/07/2020 16:16:46.748,1054328,AM1V310 @394D30,141184,0E0135FC5E05,27,-97.1,137.4
27/07/2020 16:16:46.807,1054387,AM1V310 @394D30,141190,4D0011FF7DFD,7.7,-23.9,-64.3
27/07/2020 16:16:46.836,1054417,AM1V310 @394D30,141197,DBFD5B0009F4,-54.9,9.1,-306.3
27/07/2020 16:16:46.897,1054477,AM1V310 @394D30,141203,E4002D0572EE,22.8,132.5,-449.4
27/07/2020 16:16:46.957,1054537,AM1V310 @394D30,141209,EDFCE5063CF0,-78.7,176.5,-403.6
27/07/2020 16:16:46.987,1054567,AM1V310 @394D30,141215,35FB5904E7F9,-122.7,111.3,-156.1
27/07/2020 16:16:47.048,1054628,AM1V310 @394D30,141222,8EFBF0005A02,-113.8,24,60.2
27/07/2020 16:16:47.107,1054688,AM1V310 @394D30,141228,4E07D0FC7E09,187,-81.6,243
27/07/2020 16:16:47.136,1054716,AM1V310 @394D30,141234,6D0D62FF4310,343.7,-15.8,416.3
27/07/2020 16:16:47.227,1054808,AM1V310 @394D30,141240,330ECFF8DB06,363.5,-184.1,175.5
27/07/2020 16:16:47.257,1054838,AM1V310 @394D30,141247,ECF25503EA02,-334.8,85.3,74.6
27/07/2020 16:16:47.287,1054868,AM1V310 @394D30,141253,A70AEC02DFFE,272.7,74.8,-28.9
27/07/2020 16:16:47.347,1054927,AM1V310 @394D30,141259,DB03A2FF03FD,98.7,-9.4,-76.5
27/07/2020 16:16:47.407,1054987,AM1V310 @394D30,141265,DBFC2CFFCEFD,-80.5,-21.2,-56.2
27/07/2020 16:16:47.437,1055017,AM1V310 @394D30,141272,1000DDFF1900,1.6,-3.5,2.5
27/07/2020 16:16:47.497,1055077,AM1V310 @394D30,141278,5701CE00CF03,34.3,20.6,97.5
27/07/2020 16:16:47.557,1055138,AM1V310 @394D30,141284,6A030C00F503,87.4,1.2,101.3
27/07/2020 16:16:47.588,1055168,AM1V310 @394D30,141290,7C0045FE3F03,12.4,-44.3,83.1
27/07/2020 16:16:47.648,1055228,AM1V310 @394D30,141297,F8FF35FDF102,-0.8,-71.5,75.3
27/07/2020 16:16:47.707,1055287,AM1V310 @394D30,141303,D6FF88FE8903,-4.2,-37.6,90.5
27/07/2020 16:16:47.737,1055317,AM1V310 @394D30,141309,870090FE0203,13.5,-36.8,77
27/07/2020 16:16:47.797,1055378,AM1V310 @394D30,141315,C3FE2BFEB602,-31.7,-46.9,69.4
27/07/2020 16:16:47.857,1055437,AM1V310 @394D30,141322,090030FE4A02,0.9,-46.4,58.6
27/07/2020 16:16:47.888,1055468,AM1V310 @394D30,141328,0FFF2CFF7801,-24.1,-21.2,37.6
27/07/2020 16:16:47.948,1055528,AM1V310 @394D30,141334,5CFF3100A7FF,-16.4,4.9,-8.9
27/07/2020 16:16:48.007,1055588,AM1V310 @394D30,141340,B700F4FF5DFF,18.3,-1.2,-16.3
