Logged started on,24/07/2020 16:18:15
Feature,Accelerometer
Nodes,AM1V310 @394D30

Date,HostTimestamp,NodeName,NodeTimestamp,RawData,X (mg),Y (mg),Z (mg)
24/07/2020 16:32:54.339,879112,AM1V310 @394D30,174755,C703350044FF,967,53,-188
24/07/2020 16:32:54.368,879133,AM1V310 @394D30,174762,03043800A6FF,1027,56,-90
24/07/2020 16:32:54.430,879195,AM1V310 @394D30,174768,CF0326003FFF,975,38,-193
24/07/2020 16:32:54.490,879255,AM1V310 @394D30,174774,D503B3FF8EFF,981,-77,-114
24/07/2020 16:32:54.520,879285,AM1V310 @394D30,174780,800430FF9200,1152,-208,146
24/07/2020 16:32:54.580,879345,AM1V310 @394D30,174787,CE078EF81B04,1998,-1906,1051
24/07/2020 16:32:54.639,879405,AM1V310 @394D30,174793,CE0733F8E100,1998,-1997,225
24/07/2020 16:32:54.682,879447,AM1V310 @394D30,174799,D002CD07A606,720,1997,1702
24/07/2020 16:32:54.730,879495,AM1V310 @394D30,174805,14032505CA00,788,1317,202
24/07/2020 16:32:54.819,879584,AM1V310 @394D30,174812,E301CD07D7F9,483,1997,-1577
24/07/2020 16:32:54.837,879602,AM1V310 @394D30,174818,5B00A906B1FB,91,1705,-1103
24/07/2020 16:32:54.879,879645,AM1V310 @394D30,174824,0500D1037D00,5,977,125
24/07/2020 16:32:54.940,879705,AM1V310 @394D30,174830,1BFD32F87D05,-741,-1998,1405
24/07/2020 16:32:54.969,879734,AM1V310 @394D30,174837,31FB32F84401,-1231,-1998,324
24/07/2020 16:32:55.029,879795,AM1V310 @394D30,174843,A2F8AFF83C00,-1886,-1873,60
24/07/2020 16:32:55.090,879855,AM1V310 @394D30,174849,59FA72F971FD,-1447,-1678,-655
24/07/2020 16:32:55.119,879884,AM1V310 @394D30,174855,A0073F0047FC,1952,63,-953
24/07/2020 16:32:55.179,879944,AM1V310 @394D30,174862,CE07CD0733F8,1998,1997,-1997
24/07/2020 16:32:55.239,880005,AM1V310 @394D30,174868,7907CA07CE06,1913,1994,1742
24/07/2020 16:32:55.269,880034,AM1V310 @394D30,174874,32F8C004E101,-1998,1216,481
24/07/2020 16:32:55.329,880095,AM1V310 @394D30,174880,E603B80168FD,998,440,-664
24/07/2020 16:32:55.390,880155,AM1V310 @394D30,174887,9D036C024200,925,620,66
24/07/2020 16:32:55.419,880184,AM1V310 @394D30,174893,64038C02F500,868,652,245
24/07/2020 16:32:55.480,880246,AM1V310 @394D30,174899,3B036F02CE00,827,623,206
24/07/2020 16:32:55.540,880305,AM1V310 @394D30,174905,E1035200C2FF,993,82,-62
24/07/2020 16:32:55.569,880334,AM1V310 @394D30,174912,210302004BFE,801,2,-437
24/07/2020 16:32:55.628,880394,AM1V310 @394D30,174918,E20368FFD9FF,994,-152,-39
24/07/2020 16:32:55.690,880455,AM1V310 @394D30,174924,DA036D00BBFF,986,109,-69
24/07/2020 16:32:55.719,880484,AM1V310 @394D30,174930,B203CDFFF1FF,946,-51,-15
24/07/2020 16:32:55.779,880545,AM1V310 @394D30,174937,D6039000BBFF,982,144,-69
24/07/2020 16:32:55.839,880605,AM1V310 @394D30,174943,C203DA001400,962,218,20
24/07/2020 16:32:55.869,880634,AM1V310 @394D30,174949,C1033700B8FF,961,55,-72
24/07/2020 16:32:55.929,880694,AM1V310 @394D30,174955,AA030F01A7FF,938,271,-89
24/07/2020 16:32:55.990,880755,AM1V310 @394D30,174962,F8034B0076FF,1016,75,-138
24/07/2020 16:32:56.019,880784,AM1V310 @394D30,174968,B6032501A4FF,950,293,-92
24/07/2020 16:32:56.079,880844,AM1V310 @394D30,174974,E703BC002600,999,188,38
24/07/2020 16:32:56.141,880906,AM1V310 @394D30,174980,D103AD00F5FF,977,173,-11
24/07/2020 16:32:56.169,880935,AM1V310 @394D30,174987,DC03EBFF47FF,988,-21,-185
24/07/2020 16:32:56.229,880994,AM1V310 @394D30,174993,EA03D90079FF,1002,217,-135
24/07/2020 16:32:56.289,881054,AM1V310 @394D30,174999,FB0395002B00,1019,149,43
