Logged started on,31/07/2020 10:20:02
Feature,Accelerometer
Nodes,AM1V310 @394D30

Date,HostTimestamp,NodeName,NodeTimestamp,RawData,X (mg),Y (mg),Z (mg)
31/07/2020 10:29:23.133,560961,AM1V310 @394D30,72312,EF0461003504,1263,97,1077
31/07/2020 10:29:23.193,561013,AM1V310 @394D30,72319,CD0774FE70FF,1997,-396,-144
31/07/2020 10:29:23.222,561042,AM1V310 @394D30,72325,900782FB1A00,1936,-1150,26
31/07/2020 10:29:23.284,561104,AM1V310 @394D30,72331,6405CD0717FB,1380,1997,-1257
31/07/2020 10:29:23.343,561163,AM1V310 @394D30,72337,330102049B01,307,1026,411
31/07/2020 10:29:23.373,561193,AM1V310 @394D30,72344,12FFCD076C00,-238,1997,108
31/07/2020 10:29:23.434,561254,AM1V310 @394D30,72350,7BFE3305FEFE,-389,1331,-258
31/07/2020 10:29:23.492,561312,AM1V310 @394D30,72356,7AFD26FBD5FD,-646,-1242,-555
31/07/2020 10:29:23.523,561342,AM1V310 @394D30,72362,F3FC32F867FE,-781,-1998,-409
31/07/2020 10:29:23.584,561404,AM1V310 @394D30,72369,03FB6AF9C700,-1277,-1686,199
31/07/2020 10:29:23.643,561463,AM1V310 @394D30,72375,5F0646036D00,1631,838,109
31/07/2020 10:29:23.673,561492,AM1V310 @394D30,72381,CD07CD07CBFC,1997,1997,-821
31/07/2020 10:29:23.733,561553,AM1V310 @394D30,72387,8D0732F875F9,1933,-1998,-1675
31/07/2020 10:29:23.794,561614,AM1V310 @394D30,72394,CD076FF901FF,1997,-1681,-255
31/07/2020 10:29:23.822,561642,AM1V310 @394D30,72400,B20636016CFE,1714,310,-404
31/07/2020 10:29:23.883,561703,AM1V310 @394D30,72406,C00394025901,960,660,345
31/07/2020 10:29:23.943,561763,AM1V310 @394D30,72412,4C03500071FD,844,80,-655
31/07/2020 10:29:23.973,561792,AM1V310 @394D30,72419,A403020059FF,932,2,-167
31/07/2020 10:29:24.034,561853,AM1V310 @394D30,72425,1B0443028900,1051,579,137
31/07/2020 10:29:24.093,561913,AM1V310 @394D30,72431,5B034F01F6FF,859,335,-10
31/07/2020 10:29:24.123,561943,AM1V310 @394D30,72437,30031B00F4FE,816,27,-268
31/07/2020 10:29:24.184,562004,AM1V310 @394D30,72444,AD0316013000,941,278,48
31/07/2020 10:29:24.243,562063,AM1V310 @394D30,72450,E003DBFFDEFE,992,-37,-290
31/07/2020 10:29:24.272,562092,AM1V310 @394D30,72456,DE0375008900,990,117,137
31/07/2020 10:29:24.333,562153,AM1V310 @394D30,72462,CF03420097FE,975,66,-361
31/07/2020 10:29:24.410,562229,AM1V310 @394D30,72469,B7032A00DCFF,951,42,-36
31/07/2020 10:29:24.422,562242,AM1V310 @394D30,72475,F503350060FF,1013,53,-160
31/07/2020 10:29:24.483,562302,AM1V310 @394D30,72481,C9036900B2FF,969,105,-78
31/07/2020 10:29:24.542,562362,AM1V310 @394D30,72487,D4036D007BFF,980,109,-133
31/07/2020 10:29:24.572,562392,AM1V310 @394D30,72494,DF037900A6FF,991,121,-90
31/07/2020 10:29:24.634,562453,AM1V310 @394D30,72500,CE03480068FF,974,72,-152
31/07/2020 10:29:24.692,562512,AM1V310 @394D30,72506,DD036F0087FF,989,111,-121
31/07/2020 10:29:24.722,562542,AM1V310 @394D30,72512,D5034F0075FF,981,79,-139
31/07/2020 10:29:24.783,562603,AM1V310 @394D30,72519,CF034B0075FF,975,75,-139
31/07/2020 10:29:24.842,562662,AM1V310 @394D30,72525,CE034E006BFF,974,78,-149
31/07/2020 10:29:24.873,562692,AM1V310 @394D30,72531,D9036E0078FF,985,110,-136
31/07/2020 10:29:24.933,562753,AM1V310 @394D30,72537,C30368005EFF,963,104,-162
31/07/2020 10:29:24.992,562812,AM1V310 @394D30,72544,D8033B007DFF,984,59,-131
31/07/2020 10:29:25.022,562842,AM1V310 @394D30,72550,C1032F0054FF,961,47,-172
31/07/2020 10:29:25.083,562903,AM1V310 @394D30,72556,D20334007EFF,978,52,-130
31/07/2020 10:29:25.142,562962,AM1V310 @394D30,72562,D80379007EFF,984,121,-130
31/07/2020 10:29:25.172,562992,AM1V310 @394D30,72569,D4035B0079FF,980,91,-135
31/07/2020 10:29:25.233,563053,AM1V310 @394D30,72575,D90347005DFF,985,71,-163
31/07/2020 10:29:25.292,563112,AM1V310 @394D30,72581,CE031E0048FF,974,30,-184
31/07/2020 10:29:25.322,563142,AM1V310 @394D30,72587,CA03F8FF2FFF,970,-8,-209
31/07/2020 10:29:25.383,563203,AM1V310 @394D30,72594,D0031A006FFF,976,26,-145
31/07/2020 10:29:25.442,563262,AM1V310 @394D30,72600,E5031F005AFF,997,31,-166
31/07/2020 10:29:25.472,563292,AM1V310 @394D30,72606,DB03F6FF5DFF,987,-10,-163
