Logged started on,27/07/2020 15:59:12
Feature,Magnetometer
Nodes,AM1V310 @394D30

Date,HostTimestamp,NodeName,NodeTimestamp,RawData,X (mGa),Y (mGa),Z (mGa)
27/07/2020 16:18:13.599,1141191,AM1V310 @394D30,152040,97FE73FE4FFF,-361,-397,-177
27/07/2020 16:18:13.627,1141208,AM1V310 @394D30,152047,89FE8EFE37FF,-375,-370,-201
27/07/2020 16:18:13.688,1141269,AM1V310 @394D30,152053,6EFEABFE2AFF,-402,-341,-214
27/07/2020 16:18:13.749,1141329,AM1V310 @394D30,152059,38FEF4FE18FF,-456,-268,-232
27/07/2020 16:18:13.790,1141370,AM1V310 @394D30,152065,07FE54FF04FF,-505,-172,-252
27/07/2020 16:18:13.839,1141419,AM1V310 @394D30,152072,0AFE29FFDAFE,-502,-215,-294
27/07/2020 16:18:13.898,1141478,AM1V310 @394D30,152078,70FE9CFEACFE,-400,-356,-340
27/07/2020 16:18:13.958,1141538,AM1V310 @394D30,152084,FBFE1CFEC8FE,-261,-484,-312
27/07/2020 16:18:13.988,1141568,AM1V310 @394D30,152090,61FFEFFD01FF,-159,-529,-255
27/07/2020 16:18:14.049,1141629,AM1V310 @394D30,152097,45FF00FE10FF,-187,-512,-240
27/07/2020 16:18:14.078,1141658,AM1V310 @394D30,152103,EBFE42FEFAFE,-277,-446,-262
27/07/2020 16:18:14.139,1141719,AM1V310 @394D30,152109,94FEACFEB0FE,-364,-340,-336
27/07/2020 16:18:14.198,1141778,AM1V310 @394D30,152115,7DFE0BFF82FE,-387,-245,-382
27/07/2020 16:18:14.228,1141808,AM1V310 @394D30,152122,86FE0EFF5EFE,-378,-242,-418
27/07/2020 16:18:14.288,1141868,AM1V310 @394D30,152128,C4FED0FE64FE,-316,-304,-412
27/07/2020 16:18:14.349,1141929,AM1V310 @394D30,152134,C1FE6CFEB0FE,-319,-404,-336
27/07/2020 16:18:14.377,1141958,AM1V310 @394D30,152140,19FFEEFDDDFE,-231,-530,-291
27/07/2020 16:18:14.439,1142019,AM1V310 @394D30,152147,C8FEF2FDCBFE,-312,-526,-309
27/07/2020 16:18:14.498,1142078,AM1V310 @394D30,152153,56FE0CFEF2FE,-426,-500,-270
27/07/2020 16:18:14.558,1142139,AM1V310 @394D30,152159,2CFE48FEEEFE,-468,-440,-274
27/07/2020 16:18:14.587,1142168,AM1V310 @394D30,152165,11FE6AFED9FE,-495,-406,-295
27/07/2020 16:18:14.649,1142229,AM1V310 @394D30,152172,0BFE8BFEC5FE,-501,-373,-315
27/07/2020 16:18:14.678,1142258,AM1V310 @394D30,152178,16FE87FEB2FE,-490,-377,-334
27/07/2020 16:18:14.739,1142319,AM1V310 @394D30,152184,2FFE69FEC5FE,-465,-407,-315
27/07/2020 16:18:14.797,1142377,AM1V310 @394D30,152190,37FE5DFED3FE,-457,-419,-301
27/07/2020 16:18:14.828,1142408,AM1V310 @394D30,152197,53FE34FEDDFE,-429,-460,-291
27/07/2020 16:18:14.888,1142468,AM1V310 @394D30,152203,71FE04FEF7FE,-399,-508,-265
27/07/2020 16:18:14.949,1142529,AM1V310 @394D30,152209,77FEF2FD16FF,-393,-526,-234
27/07/2020 16:18:14.977,1142557,AM1V310 @394D30,152215,85FED3FD3DFF,-379,-557,-195
27/07/2020 16:18:15.039,1142619,AM1V310 @394D30,152222,A9FEC2FD4BFF,-343,-574,-181
27/07/2020 16:18:15.098,1142679,AM1V310 @394D30,152228,B5FEBBFD66FF,-331,-581,-154
27/07/2020 16:18:15.128,1142708,AM1V310 @394D30,152234,B6FEB5FD6DFF,-330,-587,-147
27/07/2020 16:18:15.188,1142769,AM1V310 @394D30,152240,B9FEBBFD75FF,-327,-581,-139
27/07/2020 16:18:15.249,1142829,AM1V310 @394D30,152247,B3FEB3FD7BFF,-333,-589,-133
27/07/2020 16:18:15.278,1142858,AM1V310 @394D30,152253,B0FEACFD82FF,-336,-596,-126
