Logged started on,27/07/2020 15:59:12
Feature,Gyroscope
Nodes,AM1V310 @394D30

Date,HostTimestamp,NodeName,NodeTimestamp,RawData,X (dps),Y (dps),Z (dps)
27/07/2020 16:19:01.539,1189131,AM1V310 @394D30,158034,1DFEB901FBFD,-48.3,44.1,-51.7
27/07/2020 16:19:01.568,1189148,AM1V310 @394D30,158040,85FC630392FC,-89.1,86.7,-87.8
27/07/2020 16:19:01.659,1189239,AM1V310 @394D30,158047,2B01770404FA,29.9,114.3,-153.2
27/07/2020 16:19:01.688,1189268,AM1V310 @394D30,158053,15017B05DAF5,27.7,140.3,-259.8
27/07/2020 16:19:01.719,1189299,AM1V310 @394D30,158059,D1F71C00B9FD,-209.5,2.8,-58.3
27/07/2020 16:19:01.788,1189368,AM1V310 @394D30,158065,A8F6F4FC4605,-239.2,-78,135
27/07/2020 16:19:01.839,1189419,AM1V310 @394D30,158072,AC04A4F9910B,119.6,-162.8,296.1
27/07/2020 16:19:01.868,1189448,AM1V310 @394D30,158078,B0FF58F7E008,-8,-221.6,227.2
27/07/2020 16:19:01.929,1189509,AM1V310 @394D30,158084,8EFBF8FA3202,-113.8,-128.8,56.2
27/07/2020 16:19:01.989,1189569,AM1V310 @394D30,158090,FFFB350081FA,-102.5,5.3,-140.7
27/07/2020 16:19:02.018,1189599,AM1V310 @394D30,158097,B4FDC1048FF4,-58.8,121.7,-292.9
27/07/2020 16:19:02.079,1189659,AM1V310 @394D30,158103,8802FB06CBEE,64.8,178.7,-440.5
27/07/2020 16:19:02.139,1189719,AM1V310 @394D30,158109,EFFC1206FEF1,-78.5,155.4,-358.6
27/07/2020 16:19:02.168,1189748,AM1V310 @394D30,158115,4EFEA80167FF,-43.4,42.4,-15.3
27/07/2020 16:19:02.228,1189808,AM1V310 @394D30,158122,91FDD2FC6B08,-62.3,-81.4,215.5
27/07/2020 16:19:02.289,1189869,AM1V310 @394D30,158128,7C0C4BF9FA0F,319.6,-171.7,409
27/07/2020 16:19:02.319,1189899,AM1V310 @394D30,158134,1C0A97FC1810,258.8,-87.3,412
27/07/2020 16:19:02.379,1189959,AM1V310 @394D30,158140,CE148DFEEAF9,532.6,-37.1,-155.8
27/07/2020 16:19:02.439,1190019,AM1V310 @394D30,158147,700751FFB3F8,190.4,-17.5,-186.9
27/07/2020 16:19:02.468,1190048,AM1V310 @394D30,158153,AA01FB0010FD,42.6,25.1,-75.2
27/07/2020 16:19:02.529,1190109,AM1V310 @394D30,158159,A800B1002FFF,16.8,17.7,-20.9
27/07/2020 16:19:02.589,1190169,AM1V310 @394D30,158165,6400F6FF6F00,10,-1,11.1
27/07/2020 16:19:02.619,1190199,AM1V310 @394D30,158172,B1012A008F02,43.3,4.2,65.5
27/07/2020 16:19:02.679,1190259,AM1V310 @394D30,158178,980195FF9903,40.8,-10.7,92.1
27/07/2020 16:19:02.739,1190319,AM1V310 @394D30,158184,1B0155FE7603,28.3,-42.7,88.6
27/07/2020 16:19:02.768,1190348,AM1V310 @394D30,158190,610014FE2003,9.7,-49.2,80
27/07/2020 16:19:02.829,1190409,AM1V310 @394D30,158197,E0002CFFD102,22.4,-21.2,72.1
27/07/2020 16:19:02.889,1190469,AM1V310 @394D30,158203,5F0471FF6201,111.9,-14.3,35.4
27/07/2020 16:19:02.919,1190499,AM1V310 @394D30,158209,A3FF96FFF200,-9.3,-10.6,24.2
27/07/2020 16:19:02.979,1190559,AM1V310 @394D30,158215,0EFFAFFF4200,-24.2,-8.1,6.6
27/07/2020 16:19:03.039,1190619,AM1V310 @394D30,158222,1E01CDFF2D00,28.6,-5.1,4.5
27/07/2020 16:19:03.068,1190648,AM1V310 @394D30,158228,D300AEFF1A00,21.1,-8.2,2.6
27/07/2020 16:19:03.128,1190708,AM1V310 @394D30,158234,EAFF7BFF3C00,-2.2,-13.3,6
27/07/2020 16:19:03.189,1190769,AM1V310 @394D30,158240,7E004FFF7200,12.6,-17.7,11.4
