Logged started on,31/07/2020 10:20:02
Feature,Magnetometer
Nodes,AM1V310 @394D30

Date,HostTimestamp,NodeName,NodeTimestamp,RawData,X (mGa),Y (mGa),Z (mGa)
31/07/2020 10:31:31.867,689689,AM1V310 @394D30,88406,1FFF7FFDF600,-225,-641,246
31/07/2020 10:31:31.924,689743,AM1V310 @394D30,88412,03FF82FDED00,-253,-638,237
31/07/2020 10:31:31.952,689772,AM1V310 @394D30,88419,A9FEA4FDC300,-343,-604,195
31/07/2020 10:31:32.012,689832,AM1V310 @394D30,88425,11FE42FE9C00,-495,-446,156
31/07/2020 10:31:32.073,689893,AM1V310 @394D30,88431,96FD03FF6900,-618,-253,105
31/07/2020 10:31:32.102,689922,AM1V310 @394D30,88437,7EFD83FF3F00,-642,-125,63
31/07/2020 10:31:32.163,689983,AM1V310 @394D30,88444,8AFD8DFF2300,-630,-115,35
31/07/2020 10:31:32.223,690043,AM1V310 @394D30,88450,A8FD3EFF0200,-600,-194,2
31/07/2020 10:31:32.253,690073,AM1V310 @394D30,88456,E3FDD5FEE8FF,-541,-299,-24
31/07/2020 10:31:32.312,690132,AM1V310 @394D30,88462,02FEAEFE3900,-510,-338,57
31/07/2020 10:31:32.373,690193,AM1V310 @394D30,88469,22FE9FFE9100,-478,-353,145
31/07/2020 10:31:32.402,690222,AM1V310 @394D30,88475,4FFE72FEAC00,-433,-398,172
31/07/2020 10:31:32.463,690283,AM1V310 @394D30,88481,B6FE16FEBB00,-330,-490,187
31/07/2020 10:31:32.523,690342,AM1V310 @394D30,88487,27FFCAFDD200,-217,-566,210
31/07/2020 10:31:32.553,690373,AM1V310 @394D30,88494,D7FEC8FDDC00,-297,-568,220
31/07/2020 10:31:32.614,690434,AM1V310 @394D30,88500,E5FECBFDF900,-283,-565,249
31/07/2020 10:31:32.672,690492,AM1V310 @394D30,88506,E3FEEBFDFF00,-285,-533,255
31/07/2020 10:31:32.702,690522,AM1V310 @394D30,88512,D4FEF4FD2C01,-300,-524,300
31/07/2020 10:31:32.763,690582,AM1V310 @394D30,88519,EFFEF5FD2A01,-273,-523,298
31/07/2020 10:31:32.822,690642,AM1V310 @394D30,88525,FBFEE9FD3601,-261,-535,310
31/07/2020 10:31:32.852,690672,AM1V310 @394D30,88531,FEFEEFFD2F01,-258,-529,303
31/07/2020 10:31:32.912,690732,AM1V310 @394D30,88537,F8FEE9FD2901,-264,-535,297
31/07/2020 10:31:32.972,690792,AM1V310 @394D30,88544,09FFDFFD1401,-247,-545,276
31/07/2020 10:31:33.003,690823,AM1V310 @394D30,88550,0CFFDFFD1401,-244,-545,276
31/07/2020 10:31:33.063,690883,AM1V310 @394D30,88556,15FFD6FD0F01,-235,-554,271
31/07/2020 10:31:33.153,690973,AM1V310 @394D30,88562,22FFD3FD1401,-222,-557,276
31/07/2020 10:31:33.154,690974,AM1V310 @394D30,88569,2AFFCAFD1A01,-214,-566,282
31/07/2020 10:31:33.213,691033,AM1V310 @394D30,88575,25FFC4FD0C01,-219,-572,268
31/07/2020 10:31:33.273,691093,AM1V310 @394D30,88581,27FFD1FD1101,-217,-559,273
31/07/2020 10:31:33.306,691126,AM1V310 @394D30,88587,2AFFCEFD0501,-214,-562,261
31/07/2020 10:31:33.363,691183,AM1V310 @394D30,88594,1CFFCEFD0201,-228,-562,258
31/07/2020 10:31:33.423,691243,AM1V310 @394D30,88600,21FFCAFD0601,-223,-566,262
31/07/2020 10:31:33.452,691272,AM1V310 @394D30,88606,24FFC5FD0501,-220,-571,261
31/07/2020 10:31:33.513,691333,AM1V310 @394D30,88612,1FFFC2FD0801,-225,-574,264
31/07/2020 10:31:33.573,691393,AM1V310 @394D30,88619,2DFFC7FD0001,-211,-569,256
31/07/2020 10:31:33.602,691422,AM1V310 @394D30,88625,1FFFC1FD0B01,-225,-575,267
31/07/2020 10:31:33.664,691483,AM1V310 @394D30,88631,1FFFC4FD0F01,-225,-572,271
7
31/07/2020 10:31:20.852,678672,AM1V310 @394D30,87031,08FE57FE9400,-504,-425,148
31/07/2020 10:31:20.912,678732,AM1V310 @394D30,87037,35FE1CFEF7FF,-459,-484,-9
31/07/2020 10:31:20.973,678792,AM1V310 @394D30,87044,E9FEF4FD63FF,-279,-524,-157
31/07/2020 10:31:21.003,678822,AM1V310 @394D30,87050,58FFFDFD72FF,-168,-515,-142
31/07/2020 10:31:21.063,678882,AM1V310 @394D30,87056,54FFF4FDBDFF,-172,-524,-67
31/07/2020 10:31:21.123,678942,AM1V310 @394D30,87062,5AFFFAFDD6FF,-166,-518,-42
31/07/2020 10:31:21.153,678972,AM1V310 @394D30,87069,5EFFEEFDE7FF,-162,-530,-25
31/07/2020 10:31:21.213,679033,AM1V310 @394D30,87075,78FFF1FDF7FF,-136,-527,-9
31/07/2020 10:31:21.274,679093,AM1V310 @394D30,87081,87FFF7FD0600,-121,-521,6
31/07/2020 10:31:21.303,679123,AM1V310 @394D30,87087,8EFFECFD1700,-114,-532,23
