Logged started on,24/07/2020 16:18:15
Feature,Gyroscope
Nodes,AM1V310 @394D30

Date,HostTimestamp,NodeName,NodeTimestamp,RawData,X (dps),Y (dps),Z (dps)
24/07/2020 16:22:36.476,261253,AM1V310 @394D30,97512,4F000700B5FF,7.9,0.7,-7.5
24/07/2020 16:22:36.507,261272,AM1V310 @394D30,97518,B50088FFDCFF,18.1,-12,-3.6
24/07/2020 16:22:36.598,261363,AM1V310 @394D30,97524,F9FF44FF6FFF,-0.7,-18.8,-14.5
24/07/2020 16:22:36.627,261393,AM1V310 @394D30,97530,89FF58FF5FFE,-11.9,-16.8,-41.7
24/07/2020 16:22:36.658,261423,AM1V310 @394D30,97537,95003CFF5CFC,14.9,-19.6,-93.2
24/07/2020 16:22:36.715,261480,AM1V310 @394D30,97543,90FF07FF40FC,-11.2,-24.9,-96
24/07/2020 16:22:36.775,261540,AM1V310 @394D30,97549,5AF4C8035204,-298.2,96.8,110.6
24/07/2020 16:22:36.806,261571,AM1V310 @394D30,97555,0903DA02AB0A,77.7,73,273.1
24/07/2020 16:22:36.866,261631,AM1V310 @394D30,97562,E1FB81023E06,-105.5,64.1,159.8
24/07/2020 16:22:36.926,261691,AM1V310 @394D30,97568,B3FAFA01430B,-135.7,50.6,288.3
24/07/2020 16:22:36.955,261720,AM1V310 @394D30,97574,FA012101920E,50.6,28.9,373
24/07/2020 16:22:37.016,261781,AM1V310 @394D30,97580,67050D02EC08,138.3,52.5,228.4
24/07/2020 16:22:37.106,261872,AM1V310 @394D30,97587,E4FD6C014605,-54,36.4,135
24/07/2020 16:22:37.107,261873,AM1V310 @394D30,97593,86003F005C00,13.4,6.3,9.2
24/07/2020 16:22:37.166,261933,AM1V310 @394D30,97599,700009005EFD,11.2,0.9,-67.4
24/07/2020 16:22:37.226,261991,AM1V310 @394D30,97605,DE004EFE4DFA,22.2,-43.4,-145.9
24/07/2020 16:22:37.255,262020,AM1V310 @394D30,97612,08FCE7FC9AF5,-101.6,-79.3,-266.2
24/07/2020 16:22:37.346,262112,AM1V310 @394D30,97618,9503A4FC0EF2,91.7,-86,-357
24/07/2020 16:22:37.376,262141,AM1V310 @394D30,97624,A205A5FE99F7,144.2,-34.7,-215.1
24/07/2020 16:22:37.405,262171,AM1V310 @394D30,97630,E40421FD74FB,125.2,-73.5,-116.4
24/07/2020 16:22:37.466,262231,AM1V310 @394D30,97637,90007CFD80FC,14.4,-64.4,-89.6
