Logged started on,24/07/2020 16:18:15
Feature,Magnetometer
Nodes,AM1V310 @394D30

Date,HostTimestamp,NodeName,NodeTimestamp,RawData,X (mGa),Y (mGa),Z (mGa)
24/07/2020 16:24:29.695,374465,AM1V310 @394D30,111668,5CFEDBFE55FF,-420,-293,-171
24/07/2020 16:24:29.754,374520,AM1V310 @394D30,111674,5EFEE2FE54FF,-418,-286,-172
24/07/2020 16:24:29.784,374550,AM1V310 @394D30,111680,50FEDFFE49FF,-432,-289,-183
24/07/2020 16:24:29.846,374611,AM1V310 @394D30,111687,56FEE8FE46FF,-426,-280,-186
24/07/2020 16:24:29.906,374671,AM1V310 @394D30,111693,55FEE1FE40FF,-427,-287,-192
24/07/2020 16:24:29.935,374700,AM1V310 @394D30,111699,53FEF6FE3FFF,-429,-266,-193
24/07/2020 16:24:29.996,374761,AM1V310 @394D30,111705,49FE06FF3DFF,-439,-250,-195
24/07/2020 16:24:30.055,374821,AM1V310 @394D30,111712,26FE33FF7BFF,-474,-205,-133
24/07/2020 16:24:30.085,374850,AM1V310 @394D30,111718,19FE32FF96FF,-487,-206,-106
24/07/2020 16:24:30.145,374911,AM1V310 @394D30,111724,3EFEFAFE70FF,-450,-262,-144
24/07/2020 16:24:30.206,374971,AM1V310 @394D30,111730,6EFE6AFE5AFF,-402,-406,-166
24/07/2020 16:24:30.235,375000,AM1V310 @394D30,111737,CAFE58FEFBFE,-310,-424,-261
24/07/2020 16:24:30.295,375061,AM1V310 @394D30,111743,39FFF4FDF4FE,-199,-524,-268
24/07/2020 16:24:30.355,375121,AM1V310 @394D30,111749,0000CAFDCEFE,0,-566,-306
24/07/2020 16:24:30.385,375151,AM1V310 @394D30,111755,A200EFFDC7FE,162,-529,-313
24/07/2020 16:24:30.446,375211,AM1V310 @394D30,111762,CF0004FEC1FE,207,-508,-319
24/07/2020 16:24:30.507,375273,AM1V310 @394D30,111768,C4000FFEBCFE,196,-497,-324
24/07/2020 16:24:30.537,375302,AM1V310 @394D30,111774,B500FBFDA6FE,181,-517,-346
24/07/2020 16:24:30.596,375361,AM1V310 @394D30,111780,9600DFFDAAFE,150,-545,-342
24/07/2020 16:24:30.655,375421,AM1V310 @394D30,111787,1F00C4FDAAFE,31,-572,-342
24/07/2020 16:24:30.685,375450,AM1V310 @394D30,111793,A8FFA1FDA9FE,-88,-607,-343
24/07/2020 16:24:30.744,375510,AM1V310 @394D30,111799,10FF9DFDB8FE,-240,-611,-328
24/07/2020 16:24:30.805,375570,AM1V310 @394D30,111805,B0FEA6FDE0FE,-336,-602,-288
24/07/2020 16:24:30.834,375600,AM1V310 @394D30,111812,6BFEB6FDFAFE,-405,-586,-262
24/07/2020 16:24:30.894,375660,AM1V310 @394D30,111818,3BFEC2FD15FF,-453,-574,-235
24/07/2020 16:24:30.954,375720,AM1V310 @394D30,111824,20FED0FD2DFF,-480,-560,-211
24/07/2020 16:24:30.984,375750,AM1V310 @394D30,111830,22FECDFD43FF,-478,-563,-189
24/07/2020 16:24:31.044,375810,AM1V310 @394D30,111837,1CFECAFD54FF,-484,-566,-172
24/07/2020 16:24:31.105,375870,AM1V310 @394D30,111843,1DFEC1FD66FF,-483,-575,-154
24/07/2020 16:24:31.225,375990,AM1V310 @394D30,111849,29FEC2FD67FF,-471,-574,-153
24/07/2020 16:24:31.253,376019,AM1V310 @394D30,111855,13FED0FD61FF,-493,-560,-159
24/07/2020 16:24:31.269,376034,AM1V310 @394D30,111862,0DFED3FD60FF,-499,-557,-160
24/07/2020 16:24:31.284,376049,AM1V310 @394D30,111868,07FED3FD54FF,-505,-557,-172
24/07/2020 16:24:31.344,376110,AM1V310 @394D30,111874,0AFEDDFD52FF,-502,-547,-174
24/07/2020 16:24:31.404,376170,AM1V310 @394D30,111880,0DFED7FD4FFF,-499,-553,-177
24/07/2020 16:24:31.436,376201,AM1V310 @394D30,111887,0BFED7FD52FF,-501,-553,-174
24/07/2020 16:24:31.495,376260,AM1V310 @394D30,111893,07FED3FD54FF,-505,-557,-172
24/07/2020 16:24:31.554,376319,AM1V310 @394D30,111899,0AFECEFD58FF,-502,-562,-168
24/07/2020 16:24:31.584,376349,AM1V310 @394D30,111905,08FED0FD60FF,-504,-560,-160
24/07/2020 16:24:31.645,376410,AM1V310 @394D30,111912,04FED4FD5DFF,-508,-556,-163
24/07/2020 16:24:31.705,376470,AM1V310 @394D30,111918,FBFDC7FD5BFF,-517,-569,-165
24/07/2020 16:24:31.734,376499,AM1V310 @394D30,111924,FEFDCEFD60FF,-514,-562,-160
24/07/2020 16:24:31.795,376560,AM1V310 @394D30,111930,0EFED3FD61FF,-498,-557,-159
24/07/2020 16:24:31.885,376650,AM1V310 @394D30,111937,04FED7FD61FF,-508,-553,-159
24/07/2020 16:24:31.914,376680,AM1V310 @394D30,111943,08FED6FD69FF,-504,-554,-151
