Logged started on,24/07/2020 16:18:15
Feature,Accelerometer
Nodes,AM1V310 @394D30

Date,HostTimestamp,NodeName,NodeTimestamp,RawData,X (mg),Y (mg),Z (mg)
24/07/2020 16:25:34.645,439418,AM1V310 @394D30,119787,AF037401BEFF,943,372,-66
24/07/2020 16:25:34.705,439470,AM1V310 @394D30,119793,7E03340189FF,894,308,-119
24/07/2020 16:25:34.796,439562,AM1V310 @394D30,119799,900354018FFF,912,340,-113
24/07/2020 16:25:34.825,439590,AM1V310 @394D30,119805,960362018DFF,918,354,-115
24/07/2020 16:25:34.840,439605,AM1V310 @394D30,119812,98039901C0FF,920,409,-64
24/07/2020 16:25:34.884,439650,AM1V310 @394D30,119818,AA03AC01FAFF,938,428,-6
24/07/2020 16:25:34.975,439740,AM1V310 @394D30,119824,B3031E01D0FF,947,286,-48
24/07/2020 16:25:35.005,439770,AM1V310 @394D30,119830,4E0463016200,1102,355,98
24/07/2020 16:25:35.035,439801,AM1V310 @394D30,119837,F9032C025E00,1017,556,94
24/07/2020 16:25:35.094,439860,AM1V310 @394D30,119843,5003A1012DFF,848,417,-211
24/07/2020 16:25:35.125,439890,AM1V310 @394D30,119849,700324023F00,880,548,63
24/07/2020 16:25:35.215,439981,AM1V310 @394D30,119855,940269F8FD00,660,-1943,253
24/07/2020 16:25:35.244,440010,AM1V310 @394D30,119862,C10574FA8602,1473,-1420,646
24/07/2020 16:25:35.276,440041,AM1V310 @394D30,119868,6D07B2FCD200,1901,-846,210
24/07/2020 16:25:35.336,440101,AM1V310 @394D30,119874,FBF86EFA7A02,-1797,-1426,634
24/07/2020 16:25:35.394,440160,AM1V310 @394D30,119880,0C0770FCBD02,1804,-912,701
24/07/2020 16:25:35.425,440190,AM1V310 @394D30,119887,950783FBEEFF,1941,-1149,-18
24/07/2020 16:25:35.485,440250,AM1V310 @394D30,119893,45060C049AFD,1605,1036,-614
24/07/2020 16:25:35.575,440340,AM1V310 @394D30,119899,280381018EFF,808,385,-114
24/07/2020 16:25:35.601,440366,AM1V310 @394D30,119905,C701C002EAFF,455,704,-22
24/07/2020 16:25:35.634,440400,AM1V310 @394D30,119912,100289FFC5FE,528,-119,-315
24/07/2020 16:25:35.694,440460,AM1V310 @394D30,119918,C302260338FE,707,806,-456
24/07/2020 16:25:35.725,440491,AM1V310 @394D30,119924,A603C302E3FD,934,707,-541
24/07/2020 16:25:35.785,440550,AM1V310 @394D30,119930,F405A9070A01,1524,1961,266
24/07/2020 16:25:35.845,440610,AM1V310 @394D30,119937,AC07D3FBE800,1964,-1069,232
24/07/2020 16:25:35.874,440640,AM1V310 @394D30,119943,CE0670FF0301,1742,-144,259
24/07/2020 16:25:35.935,440701,AM1V310 @394D30,119949,3903A3026A00,825,675,106
24/07/2020 16:25:35.995,440760,AM1V310 @394D30,119955,8705B2009500,1415,178,149
24/07/2020 16:25:36.026,440791,AM1V310 @394D30,119962,500270010D00,592,368,13
24/07/2020 16:25:36.085,440850,AM1V310 @394D30,119968,3904EE0071FF,1081,238,-143
24/07/2020 16:25:36.234,441000,AM1V310 @394D30,119974,DA020C03E3FF,730,780,-29
24/07/2020 16:25:36.263,441029,AM1V310 @394D30,119987,9B037401FC00,923,372,252
24/07/2020 16:25:36.263,441029,AM1V310 @394D30,119980,A804B50004FF,1192,181,-252
24/07/2020 16:25:36.295,441060,AM1V310 @394D30,119993,51036001A8FF,849,352,-88
24/07/2020 16:25:36.325,441090,AM1V310 @394D30,119999,7A031B0140FF,890,283,-192
24/07/2020 16:25:36.385,441150,AM1V310 @394D30,120005,C2038101FFFF,962,385,-1
24/07/2020 16:25:36.445,441210,AM1V310 @394D30,120012,CF035D01D6FF,975,349,-42
24/07/2020 16:25:36.474,441240,AM1V310 @394D30,120018,960399017001,918,409,368
24/07/2020 16:25:36.535,441300,AM1V310 @394D30,120024,5703E801C901,855,488,457
24/07/2020 16:25:36.595,441361,AM1V310 @394D30,120030,A003C50125FF,928,453,-219
24/07/2020 16:25:36.624,441390,AM1V310 @394D30,120037,70039301D6FF,880,403,-42
24/07/2020 16:25:36.685,441451,AM1V310 @394D30,120043,B4039401E2FF,948,404,-30
