Logged started on,24/07/2020 17:49:19
Feature,Accelerometer
Nodes,AM1V310 @394D30

Date,HostTimestamp,NodeName,NodeTimestamp,RawData,X (mg),Y (mg),Z (mg)
24/07/2020 17:54:00.566,280796,AM1V310 @394D30,62230,F70398001400,1015,152,20
24/07/2020 17:54:00.627,280850,AM1V310 @394D30,62236,1204E300EF00,1042,227,239
24/07/2020 17:54:00.656,280879,AM1V310 @394D30,62242,0E058AFF0C01,1294,-118,268
24/07/2020 17:54:00.717,280940,AM1V310 @394D30,62248,DD01BEF8DF02,477,-1858,735
24/07/2020 17:54:00.777,281000,AM1V310 @394D30,62255,190632F8D902,1561,-1998,729
24/07/2020 17:54:00.806,281029,AM1V310 @394D30,62261,080136F88202,264,-1994,642
24/07/2020 17:54:00.866,281089,AM1V310 @394D30,62267,B00732F8C400,1968,-1998,196
24/07/2020 17:54:00.927,281150,AM1V310 @394D30,62273,CD071106B4FD,1997,1553,-588
24/07/2020 17:54:00.957,281180,AM1V310 @394D30,62280,8206CD075FFF,1666,1997,-161
24/07/2020 17:54:01.017,281240,AM1V310 @394D30,62286,CD03330203FA,973,563,-1533
24/07/2020 17:54:01.076,281299,AM1V310 @394D30,62292,9201710640FF,402,1649,-192
24/07/2020 17:54:01.107,281330,AM1V310 @394D30,62298,C2056805F4FE,1474,1384,-268
24/07/2020 17:54:01.167,281390,AM1V310 @394D30,62305,CD07E5043201,1997,1253,306
24/07/2020 17:54:01.227,281450,AM1V310 @394D30,62311,1FF932F8F702,-1761,-1998,759
24/07/2020 17:54:01.257,281480,AM1V310 @394D30,62317,3BFF9DF87F01,-197,-1891,383
24/07/2020 17:54:01.317,281540,AM1V310 @394D30,62323,6706CA078501,1639,1994,389
24/07/2020 17:54:01.377,281600,AM1V310 @394D30,62330,0103CD07BEFB,769,1997,-1090
24/07/2020 17:54:01.409,281632,AM1V310 @394D30,62336,510762F9CEFE,1873,-1694,-306
24/07/2020 17:54:01.467,281690,AM1V310 @394D30,62342,970529FE9BFD,1431,-471,-613
24/07/2020 17:54:01.527,281750,AM1V310 @394D30,62348,98031B02C3FF,920,539,-61
24/07/2020 17:54:01.557,281780,AM1V310 @394D30,62355,6C03E800F3FE,876,232,-269
24/07/2020 17:54:01.617,281840,AM1V310 @394D30,62361,7D039B01C5FF,893,411,-59
24/07/2020 17:54:01.677,281900,AM1V310 @394D30,62367,93038701E4FF,915,391,-28
24/07/2020 17:54:01.706,281929,AM1V310 @394D30,62373,7303A501A2FF,883,421,-94
24/07/2020 17:54:01.767,281990,AM1V310 @394D30,62380,4E03A30180FF,846,419,-128
24/07/2020 17:54:01.827,282050,AM1V310 @394D30,62386,7003A4016BFF,880,420,-149
24/07/2020 17:54:01.857,282080,AM1V310 @394D30,62392,83037D017CFF,899,381,-132
24/07/2020 17:54:01.917,282140,AM1V310 @394D30,62398,7D0385015FFF,893,389,-161
24/07/2020 17:54:01.977,282200,AM1V310 @394D30,62405,8F037C0177FF,911,380,-137
24/07/2020 17:54:02.009,282232,AM1V310 @394D30,62411,90036B016FFF,912,363,-145
24/07/2020 17:54:02.067,282290,AM1V310 @394D30,62417,7A0365016FFF,890,357,-145
24/07/2020 17:54:02.127,282350,AM1V310 @394D30,62423,A30354015FFF,931,340,-161
24/07/2020 17:54:02.156,282379,AM1V310 @394D30,62430,9003720187FF,912,370,-121
24/07/2020 17:54:02.217,282440,AM1V310 @394D30,62436,94037C0191FF,916,380,-111
24/07/2020 17:54:02.277,282500,AM1V310 @394D30,62442,860353015FFF,902,339,-161
24/07/2020 17:54:02.306,282529,AM1V310 @394D30,62448,910352016BFF,913,338,-149
24/07/2020 17:54:02.367,282590,AM1V310 @394D30,62455,9B035E0185FF,923,350,-123
24/07/2020 17:54:02.427,282650,AM1V310 @394D30,62461,91036B01CAFF,913,363,-54
24/07/2020 17:54:02.457,282680,AM1V310 @394D30,62467,93035E01C9FF,915,350,-55
