Logged started on,27/07/2020 15:59:12
Feature,Accelerometer
Nodes,AM1V310 @394D30

Date,HostTimestamp,NodeName,NodeTimestamp,RawData,X (mg),Y (mg),Z (mg)
27/07/2020 16:07:06.000,473589,AM1V310 @394D30,68578,0C03F801CE01,780,504,462
27/07/2020 16:07:06.030,473610,AM1V310 @394D30,68584,D302F6018201,723,502,386
27/07/2020 16:07:06.090,473671,AM1V310 @394D30,68590,B502FD016701,693,509,359
27/07/2020 16:07:06.150,473731,AM1V310 @394D30,68597,9E0220026B01,670,544,363
27/07/2020 16:07:06.180,473760,AM1V310 @394D30,68603,D90259027401,729,601,372
27/07/2020 16:07:06.240,473820,AM1V310 @394D30,68609,DF0257027301,735,599,371
27/07/2020 16:07:06.316,473896,AM1V310 @394D30,68615,CC0226025E01,716,550,350
27/07/2020 16:07:06.332,473912,AM1V310 @394D30,68622,ED022F027701,749,559,375
27/07/2020 16:07:06.390,473970,AM1V310 @394D30,68628,EB02DF016E01,747,479,366
27/07/2020 16:07:06.450,474030,AM1V310 @394D30,68634,0903AA018601,777,426,390
27/07/2020 16:07:06.482,474062,AM1V310 @394D30,68640,2C032E027301,812,558,371
27/07/2020 16:07:06.540,474120,AM1V310 @394D30,68647,210321027001,801,545,368
27/07/2020 16:07:06.602,474182,AM1V310 @394D30,68653,3703FE015C01,823,510,348
27/07/2020 16:07:06.631,474211,AM1V310 @394D30,68659,FC0220023C01,764,544,316
27/07/2020 16:07:06.690,474271,AM1V310 @394D30,68665,E002CF01A402,736,463,676
27/07/2020 16:07:06.750,474331,AM1V310 @394D30,68672,B3020C023A01,691,524,314
27/07/2020 16:07:06.779,474360,AM1V310 @394D30,68678,6402C202D800,612,706,216
27/07/2020 16:07:06.840,474421,AM1V310 @394D30,68684,81021A000201,641,26,258
27/07/2020 16:07:06.901,474481,AM1V310 @394D30,68690,39049E032B04,1081,926,1067
27/07/2020 16:07:06.930,474510,AM1V310 @394D30,68697,620487FA49FF,1122,-1401,-183
27/07/2020 16:07:06.990,474570,AM1V310 @394D30,68703,AD049FFA69FE,1197,-1377,-407
27/07/2020 16:07:07.052,474632,AM1V310 @394D30,68709,CD078DF97BFF,1997,-1651,-133
27/07/2020 16:07:07.082,474662,AM1V310 @394D30,68715,CD0733FC36FE,1997,-973,-458
27/07/2020 16:07:07.140,474720,AM1V310 @394D30,68722,0D079503DCFF,1805,917,-36
27/07/2020 16:07:07.201,474781,AM1V310 @394D30,68728,67057C016B01,1383,380,363
27/07/2020 16:07:07.230,474810,AM1V310 @394D30,68734,AF044102C000,1199,577,192
27/07/2020 16:07:07.291,474871,AM1V310 @394D30,68740,7D055B03E5FF,1405,859,-27
27/07/2020 16:07:07.351,474931,AM1V310 @394D30,68747,CE02360495FC,718,1078,-875
27/07/2020 16:07:07.382,474962,AM1V310 @394D30,68753,D9026A022FFF,729,618,-209
27/07/2020 16:07:07.459,475039,AM1V310 @394D30,68759,7202EB00CA00,626,235,202
27/07/2020 16:07:07.553,475134,AM1V310 @394D30,68765,C602FE006200,710,254,98
27/07/2020 16:07:07.553,475135,AM1V310 @394D30,68772,BF02E3FDE5FF,703,-541,-27
27/07/2020 16:07:07.590,475170,AM1V310 @394D30,68778,4803A9015802,840,425,600
27/07/2020 16:07:07.682,475263,AM1V310 @394D30,68784,B005220118FD,1456,290,-744
27/07/2020 16:07:07.682,475263,AM1V310 @394D30,68790,90027903A4FD,656,889,-604
27/07/2020 16:07:07.740,475321,AM1V310 @394D30,68797,1E02E0FE4C03,542,-288,844
27/07/2020 16:07:07.801,475381,AM1V310 @394D30,68803,E2053D003101,1506,61,305
27/07/2020 16:07:07.830,475410,AM1V310 @394D30,68809,3802FD000801,568,253,264
27/07/2020 16:07:07.892,475472,AM1V310 @394D30,68815,0803B50103FF,776,437,-253
27/07/2020 16:07:07.952,475532,AM1V310 @394D30,68822,D8028D016300,728,397,99
27/07/2020 16:07:07.980,475560,AM1V310 @394D30,68828,69022A028EFF,617,554,-114
27/07/2020 16:07:08.104,475684,AM1V310 @394D30,68834,4D04700194FF,1101,368,-108
27/07/2020 16:07:08.104,475685,AM1V310 @394D30,68840,48036F0171FF,840,367,-143
27/07/2020 16:07:08.184,475764,AM1V310 @394D30,68847,1C035F0157FF,796,351,-169
27/07/2020 16:07:08.228,475808,AM1V310 @394D30,68853,B8047C013D00,1208,380,61
27/07/2020 16:07:08.256,475836,AM1V310 @394D30,68859,BA02AB0174FF,698,427,-140
27/07/2020 16:07:08.312,475892,AM1V310 @394D30,68865,4F038201B5FF,847,386,-75
