Logged started on,31/07/2020 10:20:02
Feature,Gyroscope
Nodes,AM1V310 @394D30

Date,HostTimestamp,NodeName,NodeTimestamp,RawData,X (dps),Y (dps),Z (dps)
31/07/2020 10:34:23.854,861684,AM1V310 @394D30,109906,1D00DDFF0200,2.9,-3.5,0.2
31/07/2020 10:34:23.884,861704,AM1V310 @394D30,109912,3800F2FFEBFF,5.6,-1.4,-2.1
31/07/2020 10:34:23.944,861763,AM1V310 @394D30,109919,1B000700DCFF,2.7,0.7,-3.6
31/07/2020 10:34:23.973,861792,AM1V310 @394D30,109925,01000900C7FF,0.1,0.9,-5.7
31/07/2020 10:34:24.035,861855,AM1V310 @394D30,109931,C8FF0C00B3FF,-5.6,1.2,-7.7
31/07/2020 10:34:24.094,861913,AM1V310 @394D30,109937,D2FFF2FFCDFF,-4.6,-1.4,-5.1
31/07/2020 10:34:24.123,861943,AM1V310 @394D30,109944,F2FFE0FFE5FF,-1.4,-3.2,-2.7
31/07/2020 10:34:24.184,862004,AM1V310 @394D30,109950,E3FFDAFFBDFF,-2.9,-3.8,-6.7
31/07/2020 10:34:24.259,862079,AM1V310 @394D30,109956,F9FEFFFF4BFF,-26.3,-0.1,-18.1
31/07/2020 10:34:24.303,862123,AM1V310 @394D30,109962,DFFE930067FD,-28.9,14.7,-66.5
31/07/2020 10:34:24.334,862154,AM1V310 @394D30,109969,EF066603EBF8,177.5,87,-181.3
31/07/2020 10:34:24.393,862213,AM1V310 @394D30,109975,74085603CBF8,216.4,85.4,-184.5
31/07/2020 10:34:24.422,862242,AM1V310 @394D30,109981,43FBD604CF05,-121.3,123.8,148.7
31/07/2020 10:34:24.484,862303,AM1V310 @394D30,109987,D8010E027E0F,47.2,52.6,396.6
31/07/2020 10:34:24.543,862363,AM1V310 @394D30,109994,F3001302F911,24.3,53.1,460.1
31/07/2020 10:34:24.573,862392,AM1V310 @394D30,110000,B103F900800D,94.5,24.9,345.6
31/07/2020 10:34:24.634,862454,AM1V310 @394D30,110006,24042902F907,106,55.3,204.1
31/07/2020 10:34:24.693,862512,AM1V310 @394D30,110012,3FF58301F5FD,-275.3,38.7,-52.3
31/07/2020 10:34:24.752,862573,AM1V310 @394D30,110019,FB0323FF05F9,101.9,-22.1,-178.7
31/07/2020 10:34:24.782,862602,AM1V310 @394D30,110025,A3FF21FD6DFA,-9.3,-73.5,-142.7
31/07/2020 10:34:24.843,862663,AM1V310 @394D30,110031,000268FA3DF6,51.2,-143.2,-249.9
31/07/2020 10:34:24.872,862692,AM1V310 @394D30,110037,60FD12FBE0F1,-67.2,-126.2,-361.6
31/07/2020 10:34:24.933,862753,AM1V310 @394D30,110044,E3F92E00F7FB,-156.5,4.6,-103.3
31/07/2020 10:34:24.992,862812,AM1V310 @394D30,110050,B003BAFFB6FC,94.4,-7,-84.2
31/07/2020 10:34:25.023,862842,AM1V310 @394D30,110056,65007F00C2FE,10.1,12.7,-31.8
31/07/2020 10:34:25.083,862903,AM1V310 @394D30,110062,0CFFD4FF01FD,-24.4,-4.4,-76.7
31/07/2020 10:34:25.142,862962,AM1V310 @394D30,110069,C702F0FF6401,71.1,-1.6,35.6
31/07/2020 10:34:25.173,862993,AM1V310 @394D30,110075,5B00A7004E00,9.1,16.7,7.8
31/07/2020 10:34:25.233,863053,AM1V310 @394D30,110081,7E0013FFBCFE,12.6,-23.7,-32.4
31/07/2020 10:34:25.294,863113,AM1V310 @394D30,110087,09004EFF11FF,0.9,-17.8,-23.9
31/07/2020 10:34:25.326,863146,AM1V310 @394D30,110094,1400F1FF85FF,2,-1.5,-12.3
31/07/2020 10:34:25.383,863203,AM1V310 @394D30,110100,010087FFC9FF,0.1,-12.1,-5.5
31/07/2020 10:34:25.442,863262,AM1V310 @394D30,110106,9F00E5FFFEFF,15.9,-2.7,-0.2
31/07/2020 10:34:25.473,863293,AM1V310 @394D30,110112,23011500C9FF,29.1,2.1,-5.5
31/07/2020 10:34:25.534,863353,AM1V310 @394D30,110119,18011800EFFF,28,2.4,-1.7
31/07/2020 10:34:25.593,863413,AM1V310 @394D30,110125,8A00E8FFF4FF,13.8,-2.4,-1.2
31/07/2020 10:34:25.623,863442,AM1V310 @394D30,110131,5C002000F3FF,9.2,3.2,-1.3
31/07/2020 10:34:25.686,863505,AM1V310 @394D30,110137,26001500C7FF,3.8,2.1,-5.7
31/07/2020 10:34:25.743,863563,AM1V310 @394D30,110144,12001700C6FF,1.8,2.3,-5.8
31/07/2020 10:34:25.773,863593,AM1V310 @394D30,110150,FBFF0400BFFF,-0.5,0.4,-6.5
31/07/2020 10:34:25.834,863653,AM1V310 @394D30,110156,E1FF0900E5FF,-3.1,0.9,-2.7
