Logged started on,24/07/2020 17:49:19
Feature,Gyroscope
Nodes,AM1V310 @394D30

Date,HostTimestamp,NodeName,NodeTimestamp,RawData,X (dps),Y (dps),Z (dps)
24/07/2020 17:59:16.078,596311,AM1V310 @394D30,101673,8DFEC6FFCCFF,-37.1,-5.8,-5.2
24/07/2020 17:59:16.107,596330,AM1V310 @394D30,101680,3500D8FFB9FF,5.3,-4,-7.1
24/07/2020 17:59:16.167,596390,AM1V310 @394D30,101686,18FF5C002100,-23.2,9.2,3.3
24/07/2020 17:59:16.227,596450,AM1V310 @394D30,101692,5301FA003801,33.9,25,31.2
24/07/2020 17:59:16.256,596479,AM1V310 @394D30,101698,87032301D802,90.3,29.1,72.8
24/07/2020 17:59:16.317,596540,AM1V310 @394D30,101705,A0037E017E05,92.8,38.2,140.6
24/07/2020 17:59:16.377,596600,AM1V310 @394D30,101711,B203CA004C08,94.6,20.2,212.4
24/07/2020 17:59:16.407,596630,AM1V310 @394D30,101717,B7FF87FF430B,-7.3,-12.1,288.3
24/07/2020 17:59:16.467,596690,AM1V310 @394D30,101723,DBFCFAFE2507,-80.5,-26.2,182.9
24/07/2020 17:59:16.572,596795,AM1V310 @394D30,101736,D705A3FF820F,149.5,-9.3,397
24/07/2020 17:59:16.572,596795,AM1V310 @394D30,101730,A6FC12002F12,-85.8,1.8,465.5
24/07/2020 17:59:16.660,596883,AM1V310 @394D30,101742,93F276027306,-343.7,63,165.1
24/07/2020 17:59:16.689,596912,AM1V310 @394D30,101748,C4F5470498FC,-262,109.5,-87.2
24/07/2020 17:59:16.707,596930,AM1V310 @394D30,101755,5806CCFEFFF9,162.4,-30.8,-153.7
24/07/2020 17:59:16.766,596990,AM1V310 @394D30,101761,930431FF4AF8,117.1,-20.7,-197.4
24/07/2020 17:59:16.829,597052,AM1V310 @394D30,101767,3E029EFDF2F7,57.4,-61,-206.2
24/07/2020 17:59:16.859,597082,AM1V310 @394D30,101773,A6FFE7FD44F7,-9,-53.7,-223.6
24/07/2020 17:59:16.918,597140,AM1V310 @394D30,101780,430209FE9EF7,57.9,-50.3,-214.6
24/07/2020 17:59:16.978,597201,AM1V310 @394D30,101786,F1FDA1FE68F7,-52.7,-35.1,-220
24/07/2020 17:59:17.007,597230,AM1V310 @394D30,101792,1B01D80009FC,28.3,21.6,-101.5
24/07/2020 17:59:17.067,597290,AM1V310 @394D30,101798,98053DFA10F8,143.2,-147.5,-203.2
24/07/2020 17:59:17.127,597350,AM1V310 @394D30,101805,DDFF5DFEDAFC,-3.5,-41.9,-80.6
24/07/2020 17:59:17.157,597379,AM1V310 @394D30,101811,F900180008FF,24.9,2.4,-24.8
24/07/2020 17:59:17.248,597471,AM1V310 @394D30,101817,1400FEFF0300,2,-0.2,0.3
24/07/2020 17:59:17.277,597500,AM1V310 @394D30,101823,07007AFF9300,0.7,-13.4,14.7
24/07/2020 17:59:17.313,597536,AM1V310 @394D30,101830,A0FFAEFE9500,-9.6,-33.8,14.9
