Logged started on,24/07/2020 16:18:15
Feature,Accelerometer
Nodes,AM1V310 @394D30

Date,HostTimestamp,NodeName,NodeTimestamp,RawData,X (mg),Y (mg),Z (mg)
24/07/2020 16:31:09.100,773872,AM1V310 @394D30,161599,C7064FFFC201,1735,-177,450
24/07/2020 16:31:09.158,773924,AM1V310 @394D30,161605,840605FE90FD,1668,-507,-624
24/07/2020 16:31:09.249,774016,AM1V310 @394D30,161612,FF06F0038BFF,1791,1008,-117
24/07/2020 16:31:09.275,774040,AM1V310 @394D30,161618,8C05740735FE,1420,1908,-459
24/07/2020 16:31:09.309,774074,AM1V310 @394D30,161624,E001CD0767FD,480,1997,-665
24/07/2020 16:31:09.338,774104,AM1V310 @394D30,161630,AC00AC0657FE,172,1708,-425
24/07/2020 16:31:09.400,774165,AM1V310 @394D30,161637,50FC60FF4802,-944,-160,584
24/07/2020 16:31:09.459,774225,AM1V310 @394D30,161643,FEFA60F8FFFF,-1282,-1952,-1
24/07/2020 16:31:09.488,774254,AM1V310 @394D30,161649,77FA32F8A6FE,-1417,-1998,-346
24/07/2020 16:31:09.548,774314,AM1V310 @394D30,161655,F9F91DFCC3FF,-1543,-995,-61
24/07/2020 16:31:09.640,774406,AM1V310 @394D30,161668,CE075C033EFD,1998,860,-706
24/07/2020 16:31:09.640,774406,AM1V310 @394D30,161662,BAFC6DFDD7FD,-838,-659,-553
24/07/2020 16:31:09.728,774494,AM1V310 @394D30,161674,CE07BA06FAF9,1998,1722,-1542
24/07/2020 16:31:09.758,774524,AM1V310 @394D30,161680,9607CD07DD05,1942,1997,1501
24/07/2020 16:31:09.788,774554,AM1V310 @394D30,161687,32F8E0FFFAF9,-1998,-32,-1542
24/07/2020 16:31:09.848,774613,AM1V310 @394D30,161693,7F05B103BBFE,1407,945,-325
24/07/2020 16:31:09.908,774674,AM1V310 @394D30,161699,D8033A0242FF,984,570,-190
24/07/2020 16:31:09.938,774704,AM1V310 @394D30,161705,83033002D300,899,560,211
24/07/2020 16:31:09.999,774764,AM1V310 @394D30,161712,5803BF01A100,856,447,161
24/07/2020 16:31:10.058,774824,AM1V310 @394D30,161718,C9036800ADFF,969,104,-83
24/07/2020 16:31:10.088,774854,AM1V310 @394D30,161724,7003F3000100,880,243,1
24/07/2020 16:31:10.148,774914,AM1V310 @394D30,161730,CA039D00CDFF,970,157,-51
24/07/2020 16:31:10.208,774974,AM1V310 @394D30,161737,C903DFFF6AFF,969,-33,-150
24/07/2020 16:31:10.238,775004,AM1V310 @394D30,161743,E0039900DCFF,992,153,-36
24/07/2020 16:31:10.298,775064,AM1V310 @394D30,161749,E0034600CCFF,992,70,-52
24/07/2020 16:31:10.358,775123,AM1V310 @394D30,161755,B003ACFF52FF,944,-84,-174
24/07/2020 16:31:10.449,775214,AM1V310 @394D30,161762,D80316007EFF,984,22,-130
24/07/2020 16:31:10.470,775236,AM1V310 @394D30,161768,E8035D00ADFF,1000,93,-83
24/07/2020 16:31:10.508,775274,AM1V310 @394D30,161774,D903220088FF,985,34,-120
24/07/2020 16:31:10.538,775303,AM1V310 @394D30,161780,CF0306005DFF,975,6,-163
24/07/2020 16:31:10.599,775364,AM1V310 @394D30,161787,E20337007BFF,994,55,-133
24/07/2020 16:31:10.658,775424,AM1V310 @394D30,161793,D50306006BFF,981,6,-149
24/07/2020 16:31:10.688,775453,AM1V310 @394D30,161799,DA03FCFF6CFF,986,-4,-148
24/07/2020 16:31:10.749,775514,AM1V310 @394D30,161805,D5031E0089FF,981,30,-119
