Logged started on,31/07/2020 10:20:02
Feature,Accelerometer
Nodes,AM1V310 @394D30

Date,HostTimestamp,NodeName,NodeTimestamp,RawData,X (mg),Y (mg),Z (mg)
31/07/2020 10:30:36.872,634693,AM1V310 @394D30,81531,C30324009FFF,963,36,-97
31/07/2020 10:30:36.933,634752,AM1V310 @394D30,81537,D803F9FF61FF,984,-7,-159
31/07/2020 10:30:36.963,634783,AM1V310 @394D30,81544,D0037400E1FF,976,116,-31
31/07/2020 10:30:37.023,634842,AM1V310 @394D30,81550,4B041D0093FF,1099,29,-109
31/07/2020 10:30:37.083,634903,AM1V310 @394D30,81556,CD07B4FDE000,1997,-588,224
31/07/2020 10:30:37.112,634932,AM1V310 @394D30,81562,CD07EBF8C201,1997,-1813,450
31/07/2020 10:30:37.172,634992,AM1V310 @394D30,81569,04050901B6FF,1284,265,-74
31/07/2020 10:30:37.246,635065,AM1V310 @394D30,81575,8FFF5007F8FC,-113,1872,-776
31/07/2020 10:30:37.263,635083,AM1V310 @394D30,81581,FCFE8807AFFF,-260,1928,-81
31/07/2020 10:30:37.322,635142,AM1V310 @394D30,81587,BCFFAD04AC01,-68,1197,428
31/07/2020 10:30:37.385,635205,AM1V310 @394D30,81594,2400170367FF,36,791,-153
31/07/2020 10:30:37.415,635235,AM1V310 @394D30,81600,3CFF0DFA81FD,-196,-1523,-639
31/07/2020 10:30:37.473,635293,AM1V310 @394D30,81606,95F9FCF828FF,-1643,-1796,-216
31/07/2020 10:30:37.533,635353,AM1V310 @394D30,81612,B0FA57FE58FF,-1360,-425,-168
31/07/2020 10:30:37.565,635385,AM1V310 @394D30,81619,FF056E007702,1535,110,631
31/07/2020 10:30:37.623,635443,AM1V310 @394D30,81625,CD07CD0789FE,1997,1997,-375
31/07/2020 10:30:37.684,635504,AM1V310 @394D30,81631,4E0432F83FF8,1102,-1998,-1985
31/07/2020 10:30:37.713,635533,AM1V310 @394D30,81637,CD07AF051804,1997,1455,1048
31/07/2020 10:30:37.773,635593,AM1V310 @394D30,81644,35048B01A901,1077,395,425
31/07/2020 10:30:37.833,635653,AM1V310 @394D30,81650,D004E30071FF,1232,227,-143
31/07/2020 10:30:37.864,635683,AM1V310 @394D30,81656,2A036201AEFE,810,354,-338
31/07/2020 10:30:37.923,635743,AM1V310 @394D30,81662,0904A7009A00,1033,167,154
31/07/2020 10:30:37.984,635804,AM1V310 @394D30,81669,F402D0013200,756,464,50
31/07/2020 10:30:38.012,635832,AM1V310 @394D30,81675,C00431007CFF,1216,49,-132
31/07/2020 10:30:38.073,635893,AM1V310 @394D30,81681,BE03BA011201,958,442,274
31/07/2020 10:30:38.134,635954,AM1V310 @394D30,81687,A9033C0183FF,937,316,-125
31/07/2020 10:30:38.164,635984,AM1V310 @394D30,81694,4C0364013801,844,356,312
31/07/2020 10:30:38.223,636043,AM1V310 @394D30,81700,1F03DB016FFF,799,475,-145
31/07/2020 10:30:38.284,636104,AM1V310 @394D30,81706,B2033800D2FE,946,56,-302
31/07/2020 10:30:38.313,636133,AM1V310 @394D30,81712,E50319016300,997,281,99
31/07/2020 10:30:38.373,636193,AM1V310 @394D30,81719,FF039B0026FF,1023,155,-218
31/07/2020 10:30:38.434,636254,AM1V310 @394D30,81725,9B03D900B1FF,923,217,-79
31/07/2020 10:30:38.463,636283,AM1V310 @394D30,81731,B8039F00A9FF,952,159,-87
31/07/2020 10:30:38.523,636343,AM1V310 @394D30,81737,11042601E2FF,1041,294,-30
31/07/2020 10:30:38.584,636404,AM1V310 @394D30,81744,F103DF009EFF,1009,223,-98
31/07/2020 10:30:38.612,636432,AM1V310 @394D30,81750,7E032D0129FF,894,301,-215
31/07/2020 10:30:38.672,636492,AM1V310 @394D30,81756,9303F3001D00,915,243,29
31/07/2020 10:30:38.733,636553,AM1V310 @394D30,81762,A30315016DFF,931,277,-147
31/07/2020 10:30:38.763,636582,AM1V310 @394D30,81769,B903B400C6FF,953,180,-58
31/07/2020 10:30:38.822,636642,AM1V310 @394D30,81775,DA03C7007FFF,986,199,-129
020 10:30:28.384,626203,AM1V310 @394D30,80469,BC03DBFF7FFF,956,-37,-129
31/07/2020 10:30:28.412,626232,AM1V310 @394D30,80475,D50371FFA6FF,981,-143,-90
