Logged started on,24/07/2020 16:18:15
Feature,Accelerometer
Nodes,AM1V310 @394D30

Date,HostTimestamp,NodeName,NodeTimestamp,RawData,X (mg),Y (mg),Z (mg)
24/07/2020 16:29:12.805,657577,AM1V310 @394D30,147062,8E038901DFFF,910,393,-33
24/07/2020 16:29:12.865,657630,AM1V310 @394D30,147068,9E039A01E0FF,926,410,-32
24/07/2020 16:29:12.894,657659,AM1V310 @394D30,147074,89037001A8FF,905,368,-88
24/07/2020 16:29:12.955,657720,AM1V310 @394D30,147080,A0038401D7FF,928,388,-41
24/07/2020 16:29:13.015,657780,AM1V310 @394D30,147087,7D0351019DFF,893,337,-99
24/07/2020 16:29:13.045,657810,AM1V310 @394D30,147093,96035D01D8FF,918,349,-40
24/07/2020 16:29:13.105,657870,AM1V310 @394D30,147099,B4037001D0FF,948,368,-48
24/07/2020 16:29:13.165,657930,AM1V310 @394D30,147105,C00388013400,960,392,52
24/07/2020 16:29:13.220,657985,AM1V310 @394D30,147112,A3052401F700,1443,292,247
24/07/2020 16:29:13.255,658020,AM1V310 @394D30,147118,CE07DAFF9103,1998,-38,913
24/07/2020 16:29:13.315,658080,AM1V310 @394D30,147124,36078DFB2500,1846,-1139,37
24/07/2020 16:29:13.345,658110,AM1V310 @394D30,147130,D305C1FDE7FC,1491,-575,-793
24/07/2020 16:29:13.404,658169,AM1V310 @394D30,147137,C10781073202,1985,1921,562
24/07/2020 16:29:13.464,658230,AM1V310 @394D30,147143,C305D9055C02,1475,1497,604
24/07/2020 16:29:13.494,658259,AM1V310 @394D30,147149,1803CD07FEFF,792,1997,-2
24/07/2020 16:29:13.554,658320,AM1V310 @394D30,147155,AFFECD076BFE,-337,1997,-405
24/07/2020 16:29:13.614,658379,AM1V310 @394D30,147162,DCFF74FF9D00,-36,-140,157
24/07/2020 16:29:13.645,658410,AM1V310 @394D30,147168,CDFE32F87103,-307,-1998,881
24/07/2020 16:29:13.704,658470,AM1V310 @394D30,147174,04FD7AF93000,-764,-1670,48
24/07/2020 16:29:13.794,658560,AM1V310 @394D30,147180,49FAE8FAD0FF,-1463,-1304,-48
24/07/2020 16:29:13.821,658586,AM1V310 @394D30,147187,6CFDD1FB08FF,-660,-1071,-248
24/07/2020 16:29:13.854,658620,AM1V310 @394D30,147193,4C049F0295FC,1100,671,-875
24/07/2020 16:29:13.945,658710,AM1V310 @394D30,147199,CE07CD07A200,1998,1997,162
24/07/2020 16:29:13.967,658733,AM1V310 @394D30,147205,32F865FA3AF8,-1998,-1435,-1990
24/07/2020 16:29:14.004,658770,AM1V310 @394D30,147212,71079103C503,1905,913,965
24/07/2020 16:29:14.064,658830,AM1V310 @394D30,147218,C40598041106,1476,1176,1553
24/07/2020 16:29:14.093,658859,AM1V310 @394D30,147224,65047A0287FF,1125,634,-121
24/07/2020 16:29:14.154,658920,AM1V310 @394D30,147230,AD035A029B00,941,602,155
24/07/2020 16:29:14.215,658980,AM1V310 @394D30,147237,EF03CA010900,1007,458,9
24/07/2020 16:29:14.244,659009,AM1V310 @394D30,147243,3C032F017BFF,828,303,-133
24/07/2020 16:29:14.305,659070,AM1V310 @394D30,147249,760317015300,886,279,83
24/07/2020 16:29:14.364,659129,AM1V310 @394D30,147255,B703950028FF,951,149,-216
24/07/2020 16:29:14.394,659159,AM1V310 @394D30,147262,BD03CFFF77FF,957,-49,-137
24/07/2020 16:29:14.454,659220,AM1V310 @394D30,147268,AF036F008EFF,943,111,-114
24/07/2020 16:29:14.514,659280,AM1V310 @394D30,147274,C9032F0090FF,969,47,-112
24/07/2020 16:29:14.545,659310,AM1V310 @394D30,147280,C603E8FF6EFF,966,-24,-146
24/07/2020 16:29:14.604,659369,AM1V310 @394D30,147287,AA03D7FF39FF,938,-41,-199
24/07/2020 16:29:14.665,659430,AM1V310 @394D30,147293,BC038CFF89FF,956,-116,-119
24/07/2020 16:29:14.694,659459,AM1V310 @394D30,147299,02049C00BBFF,1026,156,-69
24/07/2020 16:29:14.755,659520,AM1V310 @394D30,147305,E303EFFF8CFF,995,-17,-116
24/07/2020 16:29:14.814,659579,AM1V310 @394D30,147312,B903EDFF53FF,953,-19,-173
24/07/2020 16:29:14.844,659609,AM1V310 @394D30,147318,CB03060055FF,971,6,-171
24/07/2020 16:29:14.934,659700,AM1V310 @394D30,147324,E103D0FF92FF,993,-48,-110
24/07/2020 16:29:14.964,659729,AM1V310 @394D30,147330,BE03D6FF35FF,958,-42,-203
