Logged started on,24/07/2020 16:18:15
Feature,Gyroscope
Nodes,AM1V310 @394D30

Date,HostTimestamp,NodeName,NodeTimestamp,RawData,X (dps),Y (dps),Z (dps)
24/07/2020 16:30:09.246,714020,AM1V310 @394D30,154118,5F00AFFF1300,9.5,-8.1,1.9
24/07/2020 16:30:09.307,714072,AM1V310 @394D30,154124,10002A0051FF,1.6,4.2,-17.5
24/07/2020 16:30:09.367,714133,AM1V310 @394D30,154130,C8FF8D0019FE,-5.6,14.1,-48.7
24/07/2020 16:30:09.397,714162,AM1V310 @394D30,154137,62003C00C8FB,9.8,6,-108
24/07/2020 16:30:09.457,714222,AM1V310 @394D30,154143,06FF9C006AFB,-25,15.6,-117.4
24/07/2020 16:30:09.517,714282,AM1V310 @394D30,154149,A1FDD7FFA4FB,-60.7,-4.1,-111.6
24/07/2020 16:30:09.546,714311,AM1V310 @394D30,154155,70FC0200E7FB,-91.2,0.2,-104.9
24/07/2020 16:30:09.648,714413,AM1V310 @394D30,154162,F6FEFB0024FD,-26.6,25.1,-73.2
24/07/2020 16:30:09.669,714434,AM1V310 @394D30,154168,48072903F8F8,186.4,80.9,-180
24/07/2020 16:30:09.698,714464,AM1V310 @394D30,154174,0106D5020DFB,153.7,72.5,-126.7
24/07/2020 16:30:09.757,714522,AM1V310 @394D30,154180,39FD9D01C807,-71.1,41.3,199.2
24/07/2020 16:30:09.817,714582,AM1V310 @394D30,154187,39025CFD6202,56.9,-67.6,61
24/07/2020 16:30:09.846,714611,AM1V310 @394D30,154193,3DFCEEFD19FF,-96.3,-53,-23.1
24/07/2020 16:30:09.936,714702,AM1V310 @394D30,154199,45FDB0FE8BFA,-69.9,-33.6,-139.7
24/07/2020 16:30:09.967,714732,AM1V310 @394D30,154205,4EFB23FEDDF8,-120.2,-47.7,-182.7
24/07/2020 16:30:09.996,714761,AM1V310 @394D30,154212,C0FD3CFF09FB,-57.6,-19.6,-127.1
24/07/2020 16:30:10.057,714822,AM1V310 @394D30,154218,2CFEA6FE0AFF,-46.8,-34.6,-24.6
24/07/2020 16:30:10.117,714882,AM1V310 @394D30,154224,9AF916FE5E03,-163.8,-49,86.2
24/07/2020 16:30:10.146,714911,AM1V310 @394D30,154230,D204F2FFA408,123.4,-1.4,221.2
24/07/2020 16:30:10.207,714972,AM1V310 @394D30,154237,25038C00AD0F,80.5,14,401.3
24/07/2020 16:30:10.267,715032,AM1V310 @394D30,154243,35067700060B,158.9,11.9,282.2
24/07/2020 16:30:10.296,715062,AM1V310 @394D30,154249,19E401069CFF,-714.3,153.7,-10
24/07/2020 16:30:10.356,715121,AM1V310 @394D30,154255,970C72FEFBF9,322.3,-39.8,-154.1
24/07/2020 16:30:10.417,715182,AM1V310 @394D30,154262,E1028CFEB0FB,73.7,-37.2,-110.4
24/07/2020 16:30:10.446,715211,AM1V310 @394D30,154268,60FF3600CFFE,-16,5.4,-30.5
24/07/2020 16:30:10.507,715273,AM1V310 @394D30,154274,77009DFF1501,11.9,-9.9,27.7
24/07/2020 16:30:10.566,715332,AM1V310 @394D30,154280,790190FF1D03,37.7,-11.2,79.7
24/07/2020 16:30:10.596,715361,AM1V310 @394D30,154287,B301E7FF0504,43.5,-2.5,102.9
24/07/2020 16:30:10.656,715421,AM1V310 @394D30,154293,7401E1FFF703,37.2,-3.1,101.5
24/07/2020 16:30:10.717,715482,AM1V310 @394D30,154299,1B0054FF6403,2.7,-17.2,86.8
24/07/2020 16:30:10.746,715511,AM1V310 @394D30,154305,7EFED0FE1D02,-38.6,-30.4,54.1
24/07/2020 16:30:10.837,715603,AM1V310 @394D30,154312,E400D0FE1C01,22.8,-30.4,28.4
24/07/2020 16:30:10.897,715662,AM1V310 @394D30,154318,F2FBC7FFB401,-103.8,-5.7,43.6
24/07/2020 16:30:10.916,715681,AM1V310 @394D30,154324,EB0097FF7B00,23.5,-10.5,12.3
24/07/2020 16:30:10.957,715722,AM1V310 @394D30,154330,670089FF3800,10.3,-11.9,5.6
24/07/2020 16:30:11.017,715782,AM1V310 @394D30,154337,FB00BAFFFCFF,25.1,-7,-0.4
24/07/2020 16:30:11.046,715812,AM1V310 @394D30,154343,8800DAFFF7FF,13.6,-3.8,-0.9
24/07/2020 16:30:11.107,715873,AM1V310 @394D30,154349,0200F3FFFCFF,0.2,-1.3,-0.4
24/07/2020 16:30:11.168,715933,AM1V310 @394D30,154355,5500CBFF2600,8.5,-5.3,3.8
24/07/2020 16:30:11.196,715962,AM1V310 @394D30,154362,F1FFDBFF0C00,-1.5,-3.7,1.2
