Logged started on,31/07/2020 10:20:02
Feature,Gyroscope
Nodes,AM1V310 @394D30

Date,HostTimestamp,NodeName,NodeTimestamp,RawData,X (dps),Y (dps),Z (dps)
31/07/2020 10:31:31.867,689688,AM1V310 @394D30,88406,C6FFA1FF8CFF,-5.8,-9.5,-11.6
31/07/2020 10:31:31.924,689743,AM1V310 @394D30,88412,A6FFF60084FC,-9,24.6,-89.2
31/07/2020 10:31:31.952,689772,AM1V310 @394D30,88419,89FFDF03B6F5,-11.9,99.1,-263.4
31/07/2020 10:31:32.012,689832,AM1V310 @394D30,88425,CF00A1037AF0,20.7,92.9,-397.4
31/07/2020 10:31:32.073,689893,AM1V310 @394D30,88431,9C00BE05EFF0,15.6,147,-385.7
31/07/2020 10:31:32.102,689922,AM1V310 @394D30,88437,80FEA80550FB,-38.4,144.8,-120
31/07/2020 10:31:32.163,689983,AM1V310 @394D30,88444,37FF22039B02,-20.1,80.2,66.7
31/07/2020 10:31:32.223,690043,AM1V310 @394D30,88450,D7FB8AFD1609,-106.5,-63,232.6
31/07/2020 10:31:32.253,690073,AM1V310 @394D30,88456,D8F83DF53208,-183.2,-275.5,209.8
31/07/2020 10:31:32.312,690132,AM1V310 @394D30,88462,190429F42703,104.9,-303.1,80.7
31/07/2020 10:31:32.373,690193,AM1V310 @394D30,88469,ACFE13F9A304,-34,-177.3,118.7
31/07/2020 10:31:32.402,690222,AM1V310 @394D30,88475,A00077FECF06,16,-39.3,174.3
31/07/2020 10:31:32.463,690283,AM1V310 @394D30,88481,340798041B09,184.4,117.6,233.1
31/07/2020 10:31:32.523,690342,AM1V310 @394D30,88487,960E7E04AEFB,373.4,115,-110.6
31/07/2020 10:31:32.553,690373,AM1V310 @394D30,88494,6FFEE0FFDEF9,-40.1,-3.2,-157
31/07/2020 10:31:32.614,690434,AM1V310 @394D30,88500,4808E4006BFC,212,22.8,-91.7
31/07/2020 10:31:32.672,690492,AM1V310 @394D30,88506,570045FF47FF,8.7,-18.7,-18.5
31/07/2020 10:31:32.702,690522,AM1V310 @394D30,88512,6600CDFDA900,10.2,-56.3,16.9
31/07/2020 10:31:32.763,690582,AM1V310 @394D30,88519,93002A006201,14.7,4.2,35.4
31/07/2020 10:31:32.822,690642,AM1V310 @394D30,88525,3500AFFF2101,5.3,-8.1,28.9
31/07/2020 10:31:32.852,690672,AM1V310 @394D30,88531,6DFE7BFFB500,-40.3,-13.3,18.1
31/07/2020 10:31:32.912,690732,AM1V310 @394D30,88537,55FF8700AD00,-17.1,13.5,17.3
31/07/2020 10:31:32.972,690792,AM1V310 @394D30,88544,9AFFD0FFEE00,-10.2,-4.8,23.8
31/07/2020 10:31:33.003,690822,AM1V310 @394D30,88550,C2FF4700E900,-6.2,7.1,23.3
31/07/2020 10:31:33.063,690883,AM1V310 @394D30,88556,BFFF18000101,-6.5,2.4,25.7
31/07/2020 10:31:33.154,690973,AM1V310 @394D30,88569,5EFF1D008800,-16.2,2.9,13.6
31/07/2020 10:31:33.153,690974,AM1V310 @394D30,88562,7000B6FF8C00,11.2,-7.4,14
31/07/2020 10:31:33.213,691033,AM1V310 @394D30,88575,E0FFF5FF5F00,-3.2,-1.1,9.5
31/07/2020 10:31:33.273,691093,AM1V310 @394D30,88581,85FF20001600,-12.3,3.2,2.2
31/07/2020 10:31:33.306,691126,AM1V310 @394D30,88587,6100F0FFD9FF,9.7,-1.6,-3.9
31/07/2020 10:31:33.363,691183,AM1V310 @394D30,88594,A6FFF2FFC7FF,-9,-1.4,-5.7
31/07/2020 10:31:33.423,691243,AM1V310 @394D30,88600,2700B4FF3200,3.9,-7.6,5
31/07/2020 10:31:33.452,691272,AM1V310 @394D30,88606,DDFFD9FF0D00,-3.5,-3.9,1.3
31/07/2020 10:31:33.513,691333,AM1V310 @394D30,88612,3400CCFF1300,5.2,-5.2,1.9
31/07/2020 10:31:33.573,691393,AM1V310 @394D30,88619,D5FFE7FF0300,-4.3,-2.5,0.3
31/07/2020 10:31:33.602,691422,AM1V310 @394D30,88625,4A00C8FFD7FF,7.4,-5.6,-4.1
31/07/2020 10:31:33.664,691483,AM1V310 @394D30,88631,3800E4FFCDFF,5.6,-2.8,-5.1
B6F052AFB,-125.9,139.1,-123.8
