Logged started on,24/07/2020 16:18:15
Feature,Accelerometer
Nodes,AM1V310 @394D30

Date,HostTimestamp,NodeName,NodeTimestamp,RawData,X (mg),Y (mg),Z (mg)
24/07/2020 16:29:48.398,693174,AM1V310 @394D30,151499,C803EAFF2FFF,968,-22,-209
24/07/2020 16:29:48.428,693193,AM1V310 @394D30,151512,CF037100FEFF,975,113,-2
24/07/2020 16:29:48.428,693193,AM1V310 @394D30,151505,AD03930065FF,941,147,-155
24/07/2020 16:29:48.480,693245,AM1V310 @394D30,151518,AE03CD003000,942,205,48
24/07/2020 16:29:48.539,693305,AM1V310 @394D30,151524,DB0369018A00,987,361,138
24/07/2020 16:29:48.569,693334,AM1V310 @394D30,151530,360556006CFF,1334,86,-148
24/07/2020 16:29:48.599,693365,AM1V310 @394D30,151537,CE074AFFD2FF,1998,-182,-46
24/07/2020 16:29:48.690,693455,AM1V310 @394D30,151543,CE07B5FD0000,1998,-587,0
24/07/2020 16:29:48.751,693516,AM1V310 @394D30,151555,F706B00783FD,1783,1968,-637
24/07/2020 16:29:48.751,693517,AM1V310 @394D30,151549,A40711FDC1FF,1956,-751,-63
24/07/2020 16:29:48.810,693575,AM1V310 @394D30,151562,E5039C07A403,997,1948,932
24/07/2020 16:29:48.839,693604,AM1V310 @394D30,151568,A103C0078DFE,929,1984,-371
24/07/2020 16:29:48.899,693664,AM1V310 @394D30,151574,CD02E2035DFF,717,994,-163
24/07/2020 16:29:48.960,693725,AM1V310 @394D30,151580,8901B1035A01,393,945,346
24/07/2020 16:29:48.989,693755,AM1V310 @394D30,151587,E2FA60011704,-1310,352,1047
24/07/2020 16:29:49.049,693815,AM1V310 @394D30,151593,84FACCFB2003,-1404,-1076,800
24/07/2020 16:29:49.110,693875,AM1V310 @394D30,151599,DEF9F4FA0000,-1570,-1292,0
24/07/2020 16:29:49.170,693935,AM1V310 @394D30,151605,39F86FFD2EFF,-1991,-657,-210
24/07/2020 16:29:49.199,693964,AM1V310 @394D30,151612,65FBD6FDB7FE,-1179,-554,-329
24/07/2020 16:29:49.260,694025,AM1V310 @394D30,151618,CE07F005F4FD,1998,1520,-524
24/07/2020 16:29:49.289,694054,AM1V310 @394D30,151624,CE07F30566FB,1998,1523,-1178
24/07/2020 16:29:49.380,694146,AM1V310 @394D30,151630,CE075C061F01,1998,1628,287
24/07/2020 16:29:49.409,694174,AM1V310 @394D30,151637,37F8DF0182F9,-1993,479,-1662
24/07/2020 16:29:49.470,694235,AM1V310 @394D30,151643,2DFFC702CB00,-211,711,203
24/07/2020 16:29:49.499,694265,AM1V310 @394D30,151649,41030903CEFB,833,777,-1074
24/07/2020 16:29:49.591,694356,AM1V310 @394D30,151662,7D03F601CDFE,893,502,-307
24/07/2020 16:29:49.591,694357,AM1V310 @394D30,151655,D500A802B400,213,680,180
24/07/2020 16:29:49.650,694415,AM1V310 @394D30,151668,7B033102AF00,891,561,175
24/07/2020 16:29:49.710,694476,AM1V310 @394D30,151674,EA03D2013200,1002,466,50
24/07/2020 16:29:49.739,694505,AM1V310 @394D30,151680,8E034C0194FF,910,332,-108
24/07/2020 16:29:49.831,694596,AM1V310 @394D30,151687,EF036300CCFE,1007,99,-308
24/07/2020 16:29:49.859,694625,AM1V310 @394D30,151693,E702DAFE16FF,743,-294,-234
24/07/2020 16:29:49.889,694655,AM1V310 @394D30,151699,C6039C00A1FF,966,156,-95
24/07/2020 16:29:49.951,694716,AM1V310 @394D30,151705,DA03650091FF,986,101,-111
24/07/2020 16:29:50.043,694808,AM1V310 @394D30,151712,A803010114FF,936,257,-236
24/07/2020 16:29:50.043,694809,AM1V310 @394D30,151718,CF03110096FF,975,17,-106
24/07/2020 16:29:50.131,694896,AM1V310 @394D30,151724,EA03F700A6FF,1002,247,-90
24/07/2020 16:29:50.160,694925,AM1V310 @394D30,151730,DD03320058FF,989,50,-168
24/07/2020 16:29:50.190,694955,AM1V310 @394D30,151737,BA031D005DFF,954,29,-163
24/07/2020 16:29:50.251,695016,AM1V310 @394D30,151743,BC03130041FF,956,19,-191
24/07/2020 16:29:50.310,695075,AM1V310 @394D30,151749,D5035E005FFF,981,94,-161
24/07/2020 16:29:50.340,695105,AM1V310 @394D30,151755,E203430066FF,994,67,-154
24/07/2020 16:29:50.401,695166,AM1V310 @394D30,151762,D803270065FF,984,39,-155
24/07/2020 16:29:50.461,695227,AM1V310 @394D30,151768,CE032E0056FF,974,46,-170
24/07/2020 16:29:50.490,695255,AM1V310 @394D30,151774,D30311004EFF,979,17,-178
24/07/2020 16:29:50.550,695315,AM1V310 @394D30,151780,D703260077FF,983,38,-137
